"month_initialisation","metric_name","mean_value","median_value","min_value","max_value"
"1˚may","rmse_avg",46.8565491811442,32.3117646429569,0.797772543606437,127.270468051674
"1˚may","r2_avg",0.21148900261373,0.13589512852779,0.00756317304993595,0.613962725357351
"1˚may","mae_avg",32.8569783054176,18.0719769585194,0.551519174871285,99.9127661096147
"1˚may","pbias_avg",-Inf,-12.8819773845856,-Inf,0.591703172764406
"1˚may","mae_obs",28.1514859225736,19.1412823501493,0.440785381528411,86.3054246382058
"1˚may","crps_ens",28.7737066957069,15.32070189857,0.47270295286156,88.1122514973921
"1˚may","crpss_climatology",0.0427621876326411,0.146306387392587,-0.708585127429263,0.382501843297801
"1˚may","crps_reliability",17.675182751827,5.02296008125544,0.217113178290207,63.7230054789458
"1˚may","crps_potential",11.0985239438799,8.85895912658693,0.255589774571353,28.0093226994385
"1˚jun","rmse_avg",45.6752086001046,31.0971664876555,0.778889667310993,123.432633730687
"1˚jun","r2_avg",0.33644065897361,0.30853106309401,0.00740187228694058,0.675963707048454
"1˚jun","mae_avg",32.512645931214,17.6331203182668,0.546004270361218,99.001952779217
"1˚jun","pbias_avg",-Inf,-11.1641917872278,-Inf,0.596389685946139
"1˚jun","mae_obs",28.1514859225736,19.1412823501493,0.440785381528411,86.3054246382058
"1˚jun","crps_ens",28.8332166679858,14.9533346164939,0.472546345884751,89.2414778478105
"1˚jun","crpss_climatology",0.0509614109241835,0.139361099353447,-0.705683970645604,0.399802393873734
"1˚jun","crps_reliability",19.5806244168427,5.56725750991414,0.224363911717909,74.0606760993625
"1˚jun","crps_potential",9.25259225114305,7.29264932198672,0.229658933488318,21.8956968024394
"1˚jul","rmse_avg",44.4546115243024,29.3740850989843,0.745805782876684,120.115957817815
"1˚jul","r2_avg",0.437474100870869,0.425371739087711,0.0181990073170412,0.779050463540851
"1˚jul","mae_avg",31.9870974439081,16.5448743976554,0.529233847296229,97.7141054169733
"1˚jul","pbias_avg",-Inf,-13.6159312715836,-Inf,0.597706514848887
"1˚jul","mae_obs",28.1514859225736,19.1412823501493,0.440785381528411,86.3054246382058
"1˚jul","crps_ens",28.7261865918802,14.2201679363974,0.456284086588974,88.7846636779188
"1˚jul","crpss_climatology",0.065128574815922,0.154778667170863,-0.696754472172096,0.410533616553013
"1˚jul","crps_reliability",20.9058726962333,5.88069226917986,0.220680972749648,76.7921810888371
"1˚jul","crps_potential",7.82031389564683,6.27174183128018,0.215525413238764,17.559704306383
"1˚ago","rmse_avg",43.2432637024521,27.6878433267266,0.747171185536101,119.581925909321
"1˚ago","r2_avg",0.565775167630119,0.631803787021178,0.00160242297758856,0.774637695987097
"1˚ago","mae_avg",31.542464254487,14.9419294602821,0.526547258539906,97.0532834871011
"1˚ago","pbias_avg",-Inf,-11.4087556110645,-Inf,0.601222466973563
"1˚ago","mae_obs",28.1514859225736,19.1412823501493,0.440785381528411,86.3054246382058
"1˚ago","crps_ens",28.4474015540049,13.0271487567604,0.455051986532093,89.0309021420451
"1˚ago","crpss_climatology",0.0885893646550777,0.167401218038811,-0.70310025084991,0.502738946940325
"1˚ago","crps_reliability",21.42680750291,5.21295586790791,0.227177236769566,80.8183198913702
"1˚ago","crps_potential",7.02059405109498,5.31929696581696,0.217962453881779,19.5260769644587
"1˚sep","rmse_avg",42.3357209775394,25.4265780692425,0.753273870904134,118.278683748632
"1˚sep","r2_avg",0.621560809131765,0.689849107065091,2.15950803420457e-05,0.819011094051458
"1˚sep","mae_avg",31.3176194362776,14.3807229267549,0.533508186258626,96.5152479782872
"1˚sep","pbias_avg",-Inf,-11.5388978110262,-Inf,0.603504309177649
"1˚sep","mae_obs",28.1514859225736,19.1412823501493,0.440785381528411,86.3054246382058
"1˚sep","crps_ens",28.5373036834645,12.2167262219987,0.454768566850613,90.302062796196
"1˚sep","crpss_climatology",0.0960125074409487,0.161817721748724,-0.704749911569262,0.52979300820494
"1˚sep","crps_reliability",22.7746751598826,5.67320304008754,0.211577421702825,88.0077833055874
"1˚sep","crps_potential",5.76262852358196,4.30169252897992,0.243191145147788,19.6549756743407
"1˚oct","rmse_avg",41.397150636312,26.3895081331607,0.778965827951532,120.349049035338
"1˚oct","r2_avg",0.621077233184591,0.673338978278894,0.00189492776106782,0.84828431034887
"1˚oct","mae_avg",30.9602314265711,15.3849990053251,0.553584764725867,101.975483857425
"1˚oct","pbias_avg",-Inf,-13.0757567901615,-Inf,0.604218154088013
"1˚oct","mae_obs",27.6032416842053,19.5223519903415,0.467577636141591,82.3563811688786
"1˚oct","crps_ens",28.048119752387,12.2510618878973,0.468305558451919,93.6550768527776
"1˚oct","crpss_climatology",0.106123359997252,0.227990282582612,-0.755608374196369,0.545213195596804
"1˚oct","crps_reliability",22.3241505887112,5.07067210800788,0.210720174889891,88.1322088053516
"1˚oct","crps_potential",5.72396916367582,4.32162242881684,0.257585383562027,18.1453530593817
"1˚nov","rmse_avg",40.0284951979251,26.0693235167376,0.817876610570131,131.271760799588
"1˚nov","r2_avg",0.590695033659898,0.680390790094634,1.60545000897728e-05,0.844494297652802
"1˚nov","mae_avg",29.8045547970815,14.1371415267969,0.583317334563158,112.834330380446
"1˚nov","pbias_avg",-Inf,0.500142462841512,-Inf,0.601593976016823
"1˚nov","mae_obs",26.3886390902482,18.5539883130006,0.477671662227169,92.1042246529743
"1˚nov","crps_ens",26.7858211356204,11.6093481304638,0.490109986524057,103.110656587491
"1˚nov","crpss_climatology",0.107217190882056,0.241792928895488,-0.860288132226253,0.536445636670817
