"month_initialisation","metric_name","mean_value","median_value","min_value","max_value"
"1˚may","rmse_avg",182.838318551818,95.0593800843803,4.77817400654715,1702.82594840813
"1˚may","r2_avg",0.0616198289593449,0.0257903211888112,3.85634266773158e-05,0.556658602853466
"1˚may","mae_avg",137.02622827645,57.2245193089553,2.63968430479459,1356.04805418905
"1˚may","pbias_avg",-0.539668414515963,-0.273928200778332,-7.41600530436104,-0.0372946677307775
"1˚may","mae_obs",137.403733339165,68.0384478829766,2.96523182725958,1294.01825332091
"1˚may","crps_ens",101.704552836346,51.5034402209315,2.3500541255831,977.493034381754
"1˚may","crpss_climatology",0.250490840393756,0.253206217185731,0.170453341129743,0.332654300356643
"1˚may","crps_reliability",5.88317973739474,3.832571799519,0.264397516196972,38.1445868608217
"1˚may","crps_potential",95.8213730989511,44.6984280602046,2.0163498575527,939.348447520932
"1˚may","accuracy_ens",0.334019943019943,0.332641025641026,0.314435897435897,0.384897435897436
"1˚may","accuracy_uni",0.348636548636549,0.358974358974359,0.17948717948718,0.461538461538462
"1˚may","precision_humedo",0.316667581555059,0.312291855888586,0.287056471764118,0.391486347243689
"1˚may","precision_normal",0.379069116367569,0.378715665370626,0.356331168831169,0.402285806922266
"1˚may","precision_seco",0.309368775331391,0.307342472976536,0.284317559640203,0.362441100471196
"1˚may","recall_humedo",0.361244444444444,0.35125,0.209166666666667,0.555416666666667
"1˚may","recall_normal",0.294828148148148,0.3014,0.118533333333333,0.464666666666667
"1˚may","recall_seco",0.355785185185185,0.352416666666667,0.239666666666667,0.461083333333333
"1˚jun","rmse_avg",155.778666154572,81.8057591585118,4.58018162896706,1432.48349194139
"1˚jun","r2_avg",0.191527541507273,0.205048626872653,0.00655323467559857,0.370334823692972
"1˚jun","mae_avg",113.19459266693,53.6427331334725,2.64328113566826,1160.41652888252
"1˚jun","pbias_avg",-0.443109661500688,-0.193856855317086,-7.15416469668462,-0.0232934765893739
"1˚jun","mae_obs",137.403733339165,68.0384478829766,2.96523182725958,1294.01825332091
"1˚jun","crps_ens",85.7258675227701,44.296263758739,2.27509485186233,825.586227067522
"1˚jun","crpss_climatology",0.336073609178803,0.326629009170487,0.163644110077162,0.469270437703898
"1˚jun","crps_reliability",4.80154019447276,3.29814906134019,0.235222646596883,30.3323284463828
"1˚jun","crps_potential",80.9243273282974,41.3530875233348,2.00957648050257,801.661049651324
"1˚jun","accuracy_ens",0.383283190883191,0.376512820512821,0.32,0.470871794871795
"1˚jun","accuracy_uni",0.457079772079772,0.461538461538462,0.307692307692308,0.666666666666667
"1˚jun","precision_humedo",0.399272941514934,0.382145840792457,0.30779376498801,0.547442015314615
"1˚jun","precision_normal",0.379768004418381,0.379624359704041,0.35966735966736,0.413760750586396
"1˚jun","precision_seco",0.377395372068683,0.370983744180722,0.301629405077681,0.513857886904762
"1˚jun","recall_humedo",0.454603703703704,0.45875,0.284916666666667,0.580916666666667
"1˚jun","recall_normal",0.302875555555556,0.299533333333333,0.122533333333333,0.5034
"1˚jun","recall_seco",0.412472222222222,0.419,0.325666666666667,0.489333333333333
"1˚jul","rmse_avg",134.66985520646,72.3028131881343,4.32373812744951,1211.25926947284
"1˚jul","r2_avg",0.350529131907545,0.367634617156823,0.015847588014278,0.641479537199068
"1˚jul","mae_avg",101.131428413898,46.5610018406626,2.63420168579154,978.32920555452
"1˚jul","pbias_avg",-0.331741815409257,-0.17555718192968,-4.97443631928713,-0.0220504265590977
"1˚jul","mae_obs",137.403733339165,68.0384478829766,2.96523182725958,1294.01825332091
"1˚jul","crps_ens",74.6262966519887,37.782533790303,2.17878340808809,692.308151605773
"1˚jul","crpss_climatology",0.402034584063914,0.408514101213884,0.138204886778222,0.565224398670181
"1˚jul","crps_reliability",3.57053140876387,2.25921487964615,0.186464212078794,19.6226454365499
"1˚jul","crps_potential",71.0557652432248,35.1984176198591,1.9376516920466,672.685506169223
"1˚jul","accuracy_ens",0.424232478632479,0.419538461538462,0.333717948717949,0.532205128205128
"1˚jul","accuracy_uni",0.502820512820513,0.512820512820513,0.333333333333333,0.666666666666667
"1˚jul","precision_humedo",0.470019413680021,0.47000847000847,0.322536792954666,0.73551868064746
"1˚jul","precision_normal",0.403687357022345,0.402301299808225,0.365066225165563,0.458712900382016
"1˚jul","precision_seco",0.410248342780723,0.397062996594779,0.307878421291396,0.574971708789136
"1˚jul","recall_humedo",0.521251851851852,0.533833333333333,0.301416666666667,0.642333333333333
"1˚jul","recall_normal",0.33089037037037,0.320133333333333,0.150333333333333,0.552066666666667
"1˚jul","recall_seco",0.443890740740741,0.445333333333333,0.339333333333333,0.521166666666667
"1˚ago","rmse_avg",120.0620540017,55.8237413131849,3.92873536628351,1044.96856003714
"1˚ago","r2_avg",0.54431029374629,0.569003782693845,0.0254879338741753,0.95666819824526
"1˚ago","mae_avg",86.1833986067043,35.4087050650776,2.3092002101651,831.689932565921
"1˚ago","pbias_avg",-0.192979003168235,-0.1006394506982,-1.96504898137293,-0.0135970335716405
"1˚ago","mae_obs",137.403733339165,68.0384478829766,2.96523182725958,1294.01825332091
"1˚ago","crps_ens",65.2191274149777,26.9559809399629,2.03114581037065,588.499711325756
"1˚ago","crpss_climatology",0.49793415659957,0.521245824101472,0.202812689026239,0.812793333993931
"1˚ago","crps_reliability",3.63463245955542,1.89668958497811,0.119236524900543,21.1975368235675
"1˚ago","crps_potential",61.5844949554223,25.070882545876,1.77094888498265,567.302174502188
"1˚ago","accuracy_ens",0.482654131054131,0.491410256410256,0.330230769230769,0.604205128205128
