"wy","cod_cuenca","volume_GL","volume_obs_GL"
2005,5722002,249.5232,234.238176013815
2005,6028001,1492.56,1469.68992013078
2005,7104002,1797.552,1689.29280041265
2005,7321002,8002.368,7098.96963128134
2007,3820001,128.3904,98.2800000036684
2007,4320001,298.7712,203.662943993571
2007,4703002,217.9008,158.652000022041
2007,5410002,799.7184,648.889919859837
2007,5710001,2594.16,1835.63171508084
2007,5722002,141.696,76.4959680045117
2007,6028001,947.9808,850.478400075681
2007,7104002,951.264,840.179520205234
2007,7321002,3995.136,3394.54183172804
2008,3820001,62.9856,56.153952002096
2008,4320001,249.0048,240.653375992403
2008,4703002,299.9808,289.605024040234
2008,5410002,999.8208,1071.7142397685
2008,5710001,2989.872,3103.64352015448
2008,5722002,181.0944,164.548800009705
2008,6028001,1196.8128,1339.07302147317
2008,7104002,1200.96,1209.17664029537
2008,7321002,5798.736,4165.05090510862
2009,3820001,31.4928,17.5330656006544
2009,4320001,130.8096,88.5159359972056
2009,4703002,181.3536,189.611712026342
2009,5410002,845.1648,739.929599840172
2009,5710001,2489.184,2501.89344012453
2009,5722002,159.84,150.351552008868
2009,6028001,995.328,1044.6497041499
2009,7104002,1200.96,1103.97093544209
2009,7321002,5201.28,4837.87829819234
2010,3820001,25.38432,19.6024320007317
2010,4320001,78.5808,48.5853119984662
2010,4703002,89.3376,67.5120960093792
2010,5410002,447.8976,274.342463940741
2010,5710001,1992.384,1500.6643200747
2010,5722002,89.208,66.0864662107943
2010,6028001,850.176,652.654487230491
2010,7104002,802.1376,560.122560136824
2010,7321002,3793.392,2862.74688463503
2011,3820001,26.2224,25.8616800009653
2011,4320001,86.4864,48.937823998455
2011,4703002,89.2512,106.077600014737
2011,5410002,348.192,433.362109189958
2011,5710001,1396.4832,1398.89376006963
2011,5722002,57.7584,66.0623040038963
2011,6028001,847.584,732.860253738916
2011,7104002,902.016,698.336640170586
2011,7321002,4593.024,4124.07147825256
2012,3820001,25.41024,17.6877216006602
2012,4320001,44.5392,57.8543039981736
2012,4703002,81.216,58.7805120081662
2012,5410002,400.9824,444.311701972992
2012,5710001,1395.36,1785.15360008886
2012,5722002,64.152,60.6175776035752
2012,6028001,797.904,988.089815984637
2012,7104002,701.9136,746.58240018237
2012,7321002,2999.808,2745.39020522089
2013,3820001,20.1744,14.6089686862596
2013,4320001,69.552,59.7896639981125
