"gauge_name","year","month","ym","wy","wym","Q_m3s","cod_cuenca","area_km2"
"Aconcagua en Chacabuquito",2000,9,2000-09-01,2000,6,27,5410002,2113.422512
"Aconcagua en Chacabuquito",2000,10,2000-10-01,2000,7,43,5410002,2113.422512
"Aconcagua en Chacabuquito",2000,11,2000-11-01,2000,8,80,5410002,2113.422512
"Aconcagua en Chacabuquito",2000,12,2000-12-01,2000,9,109,5410002,2113.422512
"Aconcagua en Chacabuquito",2001,1,2001-01-01,2000,10,80,5410002,2113.422512
"Aconcagua en Chacabuquito",2001,2,2001-02-01,2000,11,50,5410002,2113.422512
"Aconcagua en Chacabuquito",2001,3,2001-03-01,2000,12,30,5410002,2113.422512
"Aconcagua en Chacabuquito",2001,9,2001-09-01,2001,6,20,5410002,2113.422512
"Aconcagua en Chacabuquito",2001,10,2001-10-01,2001,7,37,5410002,2113.422512
"Aconcagua en Chacabuquito",2001,11,2001-11-01,2001,8,70,5410002,2113.422512
"Aconcagua en Chacabuquito",2001,12,2001-12-01,2001,9,100,5410002,2113.422512
"Aconcagua en Chacabuquito",2002,1,2002-01-01,2001,10,75,5410002,2113.422512
"Aconcagua en Chacabuquito",2002,2,2002-02-01,2001,11,48,5410002,2113.422512
"Aconcagua en Chacabuquito",2002,3,2002-03-01,2001,12,29,5410002,2113.422512
"Aconcagua en Chacabuquito",2002,9,2002-09-01,2002,6,30,5410002,2113.422512
"Aconcagua en Chacabuquito",2002,10,2002-10-01,2002,7,50,5410002,2113.422512
"Aconcagua en Chacabuquito",2002,11,2002-11-01,2002,8,85,5410002,2113.422512
"Aconcagua en Chacabuquito",2002,12,2002-12-01,2002,9,130,5410002,2113.422512
"Aconcagua en Chacabuquito",2003,1,2003-01-01,2002,10,95,5410002,2113.422512
"Aconcagua en Chacabuquito",2003,2,2003-02-01,2002,11,65,5410002,2113.422512
"Aconcagua en Chacabuquito",2003,3,2003-03-01,2002,12,40,5410002,2113.422512
"Aconcagua en Chacabuquito",2003,9,2003-09-01,2003,6,14,5410002,2113.422512
"Aconcagua en Chacabuquito",2003,10,2003-10-01,2003,7,25,5410002,2113.422512
"Aconcagua en Chacabuquito",2003,11,2003-11-01,2003,8,50,5410002,2113.422512
"Aconcagua en Chacabuquito",2003,12,2003-12-01,2003,9,65,5410002,2113.422512
"Aconcagua en Chacabuquito",2004,1,2004-01-01,2003,10,55,5410002,2113.422512
"Aconcagua en Chacabuquito",2004,2,2004-02-01,2003,11,35,5410002,2113.422512
"Aconcagua en Chacabuquito",2004,3,2004-03-01,2003,12,23,5410002,2113.422512
"Aconcagua en Chacabuquito",2004,9,2004-09-01,2004,6,12,5410002,2113.422512
"Aconcagua en Chacabuquito",2004,10,2004-10-01,2004,7,25,5410002,2113.422512
"Aconcagua en Chacabuquito",2004,11,2004-11-01,2004,8,45,5410002,2113.422512
"Aconcagua en Chacabuquito",2004,12,2004-12-01,2004,9,55,5410002,2113.422512
"Aconcagua en Chacabuquito",2005,1,2005-01-01,2004,10,42,5410002,2113.422512
"Aconcagua en Chacabuquito",2005,2,2005-02-01,2004,11,30,5410002,2113.422512
"Aconcagua en Chacabuquito",2005,3,2005-03-01,2004,12,20,5410002,2113.422512
"Aconcagua en Chacabuquito",2005,9,2005-09-01,2005,6,35,5410002,2113.422512
"Aconcagua en Chacabuquito",2005,10,2005-10-01,2005,7,60,5410002,2113.422512
"Aconcagua en Chacabuquito",2005,11,2005-11-01,2005,8,90,5410002,2113.422512
"Aconcagua en Chacabuquito",2005,12,2005-12-01,2005,9,120,5410002,2113.422512
"Aconcagua en Chacabuquito",2006,1,2006-01-01,2005,10,90,5410002,2113.422512
"Aconcagua en Chacabuquito",2006,2,2006-02-01,2005,11,65,5410002,2113.422512
"Aconcagua en Chacabuquito",2006,3,2006-03-01,2005,12,35,5410002,2113.422512
"Aconcagua en Chacabuquito",2007,9,2007-09-01,2007,6,24,5410002,2113.422512
"Aconcagua en Chacabuquito",2007,10,2007-10-01,2007,7,34,5410002,2113.422512
"Aconcagua en Chacabuquito",2007,11,2007-11-01,2007,8,55,5410002,2113.422512
"Aconcagua en Chacabuquito",2007,12,2007-12-01,2007,9,70,5410002,2113.422512
"Aconcagua en Chacabuquito",2008,1,2008-01-01,2007,10,55,5410002,2113.422512
"Aconcagua en Chacabuquito",2008,2,2008-02-01,2007,11,40,5410002,2113.422512
"Aconcagua en Chacabuquito",2008,3,2008-03-01,2007,12,27,5410002,2113.422512
"Aconcagua en Chacabuquito",2008,9,2008-09-01,2008,6,23,5410002,2113.422512
"Aconcagua en Chacabuquito",2008,10,2008-10-01,2008,7,40,5410002,2113.422512
"Aconcagua en Chacabuquito",2008,11,2008-11-01,2008,8,72,5410002,2113.422512
"Aconcagua en Chacabuquito",2008,12,2008-12-01,2008,9,95,5410002,2113.422512
"Aconcagua en Chacabuquito",2009,1,2009-01-01,2008,10,75,5410002,2113.422512
"Aconcagua en Chacabuquito",2009,2,2009-02-01,2008,11,48,5410002,2113.422512
"Aconcagua en Chacabuquito",2009,3,2009-03-01,2008,12,28,5410002,2113.422512
"Aconcagua en Chacabuquito",2009,9,2009-09-01,2009,6,20,5410002,2113.422512
"Aconcagua en Chacabuquito",2009,10,2009-10-01,2009,7,37,5410002,2113.422512
"Aconcagua en Chacabuquito",2009,11,2009-11-01,2009,8,60,5410002,2113.422512
"Aconcagua en Chacabuquito",2009,12,2009-12-01,2009,9,80,5410002,2113.422512
"Aconcagua en Chacabuquito",2010,1,2010-01-01,2009,10,60,5410002,2113.422512
"Aconcagua en Chacabuquito",2010,2,2010-02-01,2009,11,40,5410002,2113.422512
"Aconcagua en Chacabuquito",2010,3,2010-03-01,2009,12,25,5410002,2113.422512
"Aconcagua en Chacabuquito",2010,9,2010-09-01,2010,6,10,5410002,2113.422512
"Aconcagua en Chacabuquito",2010,10,2010-10-01,2010,7,17,5410002,2113.422512
"Aconcagua en Chacabuquito",2010,11,2010-11-01,2010,8,32,5410002,2113.422512
"Aconcagua en Chacabuquito",2010,12,2010-12-01,2010,9,40,5410002,2113.422512
"Aconcagua en Chacabuquito",2011,1,2011-01-01,2010,10,32,5410002,2113.422512
"Aconcagua en Chacabuquito",2011,2,2011-02-01,2010,11,25,5410002,2113.422512
"Aconcagua en Chacabuquito",2011,3,2011-03-01,2010,12,15,5410002,2113.422512
