"cuenca","cuenca_name","vol_normal","vol_pasado","vol_promax","vol_promin","vol_pron","year","fecha_emision","comentarios"
"3414001","Rio Pulido En Vertedero",3.29,NA,85.44,18.29,51.68,2023,2023-05-01,"version 0.1"
"3421001","Rio Manflas En Vertedero",2.05,NA,26.86,-12.25,7.2,2023,2023-05-01,"version 0.1"
"3430003","Rio Copiapo En Pastillo",3.59,NA,91.78,15.06,53.21,2023,2023-05-01,"version 0.1"
"3820001","Rio Huasco En Algodones",4.38,NA,399.6,-88.17,154.36,2023,2023-05-01,"version 0.1"
"4302001","Rio Toro Antes Junta Rio La Laguna",2.46,NA,21.98,0.73,11.29,2023,2023-05-01,"version 0.1"
"4311001","Estero Derecho En Alcohuaz",2.82,NA,89.08,-17.3,35.6,2023,2023-05-01,"version 0.1"
"4313001","Rio Cochiguaz En El Pe–on",3.76,NA,187.34,-13.91,86.16,2023,2023-05-01,"version 0.1"
"4320001","Rio Elqui En Algarrobal",5.06,NA,515.75,-227,142.31,2023,2023-05-01,"version 0.1"
"4501001","Rio Hurtado En San Agustin",3.7,NA,180.35,-10.55,84.37,2023,2023-05-01,"version 0.1"
"4503001","Rio Hurtado En Angostura De Pangue",3.36,NA,230.78,-42.13,93.57,2023,2023-05-01,"version 0.1"
"4511002","Rio Grande En Las Ramadas",4.15,NA,278.46,-25.29,125.74,2023,2023-05-01,"version 0.1"
"4513001","Rio Grande En Cuyano",4.61,NA,543.4,-28.65,255.78,2023,2023-05-01,"version 0.1"
"4515002","Rio Mostazal En Caren",2.36,NA,102.47,-10.12,45.87,2023,2023-05-01,"version 0.1"
"4522002","Rio Rapel En Junta",2.27,NA,120.92,-35.55,42.25,2023,2023-05-01,"version 0.1"
"4531002","Rio Cogoti Entrada Embalse Cogoti",2.8,NA,155.79,-55.72,49.45,2023,2023-05-01,"version 0.1"
"4703002","Rio Choapa En Cuncumen",5.09,NA,574.72,-31.48,269.93,2023,2023-05-01,"version 0.1"
"5100001","Rio Sobrante En Piadero",2.6,NA,73.82,-3.43,34.98,2023,2023-05-01,"version 0.1"
"5101001","Rio Pedernal En Tejada",1.11,NA,15.79,-5.91,4.88,2023,2023-05-01,"version 0.1"
"5200001","Rio Alicahue En Colliguay",2.84,NA,75.05,-9.33,32.62,2023,2023-05-01,"version 0.1"
"5401003","Rio Juncal En Juncal",4.87,NA,188.72,63.38,125.7,2023,2023-05-01,"version 0.1"
"5410002","Rio Aconcagua En Chacabuquito",6.52,NA,1579.34,179.63,875.59,2023,2023-05-01,"version 0.1"
"5411001","Estero Pocuro En El Sifon",2.3,NA,33.75,-4.34,14.6,2023,2023-05-01,"version 0.1"
"5414001","Rio Putaendo En Resguardo Los Patos",4.83,NA,439.47,-62.72,186.98,2023,2023-05-01,"version 0.1"
"5707002","Rio Colorado Antes Junta Rio Maipo",717.81,NA,1082.05,326.35,702.1,2023,2023-05-01,"version 0.1"
"5710001","Rio Maipo En El Manzano",7.79,NA,4124.52,607.67,2356.32,2023,2023-05-01,"version 0.1"
"5721001","Estero Yerba Loca Antes Junta San Francisco",3.13,NA,43.04,1.36,22.09,2023,2023-05-01,"version 0.1"
"5722001","Estero Arrayan En La Montosa",3.24,NA,78.28,0.94,39.4,2023,2023-05-01,"version 0.1"
"5722002","Rio Mapocho En Los Almendros",4.69,NA,298.63,6.79,151.9,2023,2023-05-01,"version 0.1"
"5730008","Quebrada Ramon En Recinto Emos",0.81,NA,9.36,-5.21,2.04,2023,2023-05-01,"version 0.1"
"5741001","Estero Puangue En Boqueron",1.35,NA,14.1,-3.42,5.29,2023,2023-05-01,"version 0.1"
"6003001","Rio Cachapoal 5 Km. Aguas Abajo Junta Cortaderal",996.98,NA,1495.44,475.26,982.51,2023,2023-05-01,"version 0.1"
"6013001","Rio Claro En Hacienda Las Nieves",153.49,NA,286.28,67.57,176.31,2023,2023-05-01,"version 0.1"
"6027001","Rio Claro En El Valle",4.95,NA,289.02,-7.41,139.98,2023,2023-05-01,"version 0.1"
"6028001","Rio Tinguiririca Bajo Los Briones",1145.6,NA,1717.13,534.36,1122.46,2023,2023-05-01,"version 0.1"
"7103001","Rio Claro En Los Que–es",297.4,NA,478.16,116.16,296.15,2023,2023-05-01,"version 0.1"
"7104002","Rio Teno Despues De Junta Con Claro",6.89,NA,1717.49,231.5,970.36,2023,2023-05-01,"version 0.1"
"7112001","Rio Colorado En Junta Con Palos",6.73,NA,1394.53,266.15,827.2,2023,2023-05-01,"version 0.1"
"7115001","Rio Palos En Junta Con Colorado",6.21,NA,800.36,187.69,492.33,2023,2023-05-01,"version 0.1"
"7321002","Rio Maule En Armerillo",4471.66,NA,7074.53,1484.53,4502.49,2023,2023-05-01,"version 0.1"
"7330001","Rio Perquilauquen En San Manuel",5.71,NA,521.85,104.49,312.01,2023,2023-05-01,"version 0.1"
"7350003","Rio Longavi En El Castillo",432.64,NA,677.01,160.5,439.36,2023,2023-05-01,"version 0.1"
"7354002","Rio Achibueno En La Recova",558.41,NA,902.26,172.07,566.29,2023,2023-05-01,"version 0.1"
"7358001","Rio Putagan En Yerbas Buenas",5.81,NA,507.68,172.67,339.24,2023,2023-05-01,"version 0.1"
"7381001","Estero Los Puercos En Puente Los Puercos",52.93,NA,95.74,11.15,53.21,2023,2023-05-01,"version 0.1"
"8104001","Rio Sauces Antes Junta Con „uble",526.01,NA,835.31,218.92,525.4,2023,2023-05-01,"version 0.1"
