"wy_simple","wym","cod_cuenca","SLZ","SSM","SUZ","SWE","STORAGE"
1987,8,"3421001",40.231,32.986,0,557.562,630.779
1988,8,"3421001",21.833,5.903,0,490.427,518.163
1989,8,"3421001",20.691,9.097,0,557.838,587.626
1990,8,"3421001",12.459,8.413,0,486.452,507.324
1991,8,"3421001",10.686,6.711,0,528.645,546.042
1992,8,"3421001",10.473,6.54,0,665.671,682.684
1993,8,"3421001",8.548,6.741,0,600.727,616.016
1994,8,"3421001",9.993,8.05,0,502.435,520.478
1995,8,"3421001",10.014,8.398,0,419.239,437.651
1996,8,"3421001",9.241,7.74,0,338.107,355.088
1997,8,"3421001",37.792,31.91,0,564.504,634.206
1998,8,"3421001",21.074,7.581,0,484.908,513.563
1999,8,"3421001",15.677,9.568,0,440.764,466.009
2000,8,"3421001",12.911,7.416,0,453.089,473.416
2001,8,"3421001",14.14,9.55,0,380.668,404.358
2002,8,"3421001",36.972,17.642,0,388.169,442.783
2003,8,"3421001",23.345,8.398,0,269.466,301.209
2004,8,"3421001",15.541,8.37,0,265.815,289.726
2005,8,"3421001",11.183,5.946,0,260.725,277.854
2006,8,"3421001",12.459,8.631,0,142.797,163.887
2007,8,"3421001",17.401,9.093,0,64.324,90.818
2008,8,"3421001",11.986,8.055,0,14.112,34.153
2009,8,"3421001",7.456,1.906,0,0,9.362
2010,8,"3421001",7.937,6.087,0,64.241,78.265
2011,8,"3421001",11.791,8.825,0,66.414,87.03
2012,8,"3421001",9.883,7.514,0,24.513,41.91
2013,8,"3421001",10.659,2.824,0,0,13.483
2014,8,"3421001",6.374,7.691,0,55.48,69.545
2015,8,"3421001",11.7,10.843,0,130.485,153.028
2016,8,"3421001",23.082,8.246,0,59.497,90.825
2017,8,"3421001",30.819,10.625,0,148.689,190.133
2018,8,"3421001",22.735,8.687,0,68.501,99.923
2019,8,"3421001",12.67,5.055,0,0,17.725
2020,8,"3421001",8.048,5.854,0,0,13.902
2021,8,"3421001",6.4,7.352,0,7.59,21.342
2022,8,"3421001",5.864,7.926,0,75.818,89.608
1981,9,"3421001",6.854,8.222,0,106.93,122.006
1982,9,"3421001",15.593,11.498,0,44.478,71.569
1983,9,"3421001",13.97,8.161,0,216.464,238.595
1984,9,"3421001",15.066,7.934,0,389.668,412.668
1985,9,"3421001",11.472,8.312,0,348.56,368.344
1986,9,"3421001",11.685,8.837,0,351.025,371.547
1987,9,"3421001",38.093,11.874,0,548.502,598.469
1988,9,"3421001",20.792,8.601,0,478.314,507.707
1989,9,"3421001",19.86,10.397,0,545.438,575.695
1990,9,"3421001",12.292,9.447,0,468.269,490.008
1991,9,"3421001",10.205,6.295,0,522.089,538.589
1992,9,"3421001",10.172,7.667,0,652.57,670.409
1993,9,"3421001",8.582,8.441,0,583.366,600.389
1994,9,"3421001",10.075,9.632,0,482.561,502.268
1995,9,"3421001",10.316,14.951,0,404.64,429.907
1996,9,"3421001",9.13,8.421,0,323.187,340.738
1997,9,"3421001",36.127,12.608,0,549.563,598.298
1998,9,"3421001",20.164,8.245,0,469.822,498.231
1999,9,"3421001",15.075,8.325,0,427.574,450.974
