"wy_simple","wym","cod_cuenca","SLZ","SSM","SUZ","SWE","STORAGE"
2008,5,"4503001",37.633,207.627,0,0,245.26
2009,5,"4503001",18.345,129.67,0,0,148.015
2010,5,"4503001",17.3,145.212,0,0,162.512
2011,5,"4503001",19.749,155.765,0,0,175.514
2012,5,"4503001",11.016,108.386,0,0,119.402
2013,5,"4503001",7.649,98.417,0,0,106.066
2014,5,"4503001",5.383,86.417,0,0,91.8
2015,5,"4503001",20.658,168.132,0,0,188.79
2016,5,"4503001",41.836,199.925,0,0,241.761
2017,5,"4503001",35.214,188.101,0,0,223.315
2018,5,"4503001",15.001,116.841,0,0,131.842
2019,5,"4503001",5.634,62.951,0,0,68.585
2020,5,"4503001",6.051,93.334,0,0,99.385
2021,5,"4503001",3.238,63.168,0,0,66.406
2022,5,"4503001",11.635,133.438,0,0,145.073
1981,6,"4503001",16.461,131.582,0,0,148.043
1982,6,"4503001",50.877,218.058,0,0,268.935
1983,6,"4503001",48.984,212.975,0,0,261.959
1984,6,"4503001",69.078,299.059,0,0,368.137
1985,6,"4503001",22.769,123.855,0,0,146.624
1986,6,"4503001",20.973,148.918,0,0,169.891
1987,6,"4503001",112.354,309.935,0,0,422.289
1988,6,"4503001",28.366,109.485,0,0,137.851
1989,6,"4503001",29.287,173.524,0,0,202.811
1990,6,"4503001",12.241,105.27,0,0,117.511
1991,6,"4503001",37.761,199.906,0,0,237.667
1992,6,"4503001",55.953,222.191,0,0,278.144
1993,6,"4503001",26.742,145.624,0,0,172.366
1994,6,"4503001",11.136,99.896,0,0,111.032
1995,6,"4503001",4.793,67.752,0,0,72.545
1996,6,"4503001",14.862,137.986,0,0,152.848
1997,6,"4503001",94.974,284.708,0,0,379.682
1998,6,"4503001",31.435,126.335,0,0,157.77
1999,6,"4503001",13.235,107.457,0,0,120.692
2000,6,"4503001",30.597,183.89,0,0,214.487
2001,6,"4503001",28.546,168.047,0,0,196.593
2002,6,"4503001",88.853,272.802,0,0,361.655
2003,6,"4503001",31.275,143.435,0,0,174.71
2004,6,"4503001",17.433,126.564,0,0,143.997
2005,6,"4503001",36.147,191.624,0,0,227.771
2006,6,"4503001",25.405,149.656,0,0,175.061
2007,6,"4503001",23.715,158.145,0,0,181.86
2008,6,"4503001",35.992,197.058,0,0,233.05
2009,6,"4503001",16.576,122.054,0,0,138.63
2010,6,"4503001",17.515,143.301,0,0,160.816
2011,6,"4503001",17.254,140.267,0,0,157.521
2012,6,"4503001",9.832,98.45,0,0,108.282
2013,6,"4503001",6.972,92.37,0,0,99.342
2014,6,"4503001",5.83,88.451,0,0,94.281
2015,6,"4503001",22.043,165.101,0,0,187.144
2016,6,"4503001",36.55,177.779,0,0,214.329
2017,6,"4503001",32.768,175.204,0,0,207.972
2018,6,"4503001",13.109,104.094,0,0,117.203
2019,6,"4503001",5.597,65.923,0,0,71.52
2020,6,"4503001",5.286,83.988,0,0,89.274
2021,6,"4503001",2.852,57.469,0,0,60.321
2022,6,"4503001",10.231,123.436,0,0,133.667
1981,7,"4503001",14.445,116.681,0,0,131.126
1982,7,"4503001",44.469,191.335,0,0,235.804
1983,7,"4503001",42.819,185.851,0,0,228.67
1984,7,"4503001",60.594,260.572,0,0,321.166
1985,7,"4503001",21.62,117.694,0,0,139.314
1986,7,"4503001",21.221,141.041,0,0,162.262
1987,7,"4503001",103.11,276.782,0,0,379.892
1988,7,"4503001",24.683,96.081,0,0,120.764
1989,7,"4503001",25.472,150.614,0,0,176.086
1990,7,"4503001",10.834,93.719,0,0,104.553
1991,7,"4503001",33.752,179.096,0,0,212.848
1992,7,"4503001",48.885,193.601,0,0,242.486
1993,7,"4503001",23.275,127.791,0,0,151.066
1994,7,"4503001",10.212,91.045,0,0,101.257
1995,7,"4503001",4.344,61.443,0,0,65.787
1996,7,"4503001",13.19,121.097,0,0,134.287
1997,7,"4503001",96.803,270.271,0,0,367.074
1998,7,"4503001",27.34,109.515,0,0,136.855
1999,7,"4503001",13.713,108.413,0,0,122.126
2000,7,"4503001",26.761,160.251,0,0,187.012
2001,7,"4503001",26.433,151.351,0,0,177.784
2002,7,"4503001",77.517,236.951,0,0,314.468
2003,7,"4503001",27.246,122.712,0,0,149.958
2004,7,"4503001",15.71,113.552,0,0,129.262
2005,7,"4503001",33.347,175.141,0,0,208.488
2006,7,"4503001",23.777,136.162,0,0,159.939
2007,7,"4503001",21.354,140.266,0,0,161.62
2008,7,"4503001",31.599,172.968,0,0,204.567
2009,7,"4503001",14.6,106.514,0,0,121.114
2010,7,"4503001",15.739,127.844,0,0,143.583
2011,7,"4503001",15.919,127.277,0,0,143.196
2012,7,"4503001",8.681,86.922,0,0,95.603
2013,7,"4503001",6.067,80.798,0,0,86.865
2014,7,"4503001",5.521,79.133,0,0,84.654
2015,7,"4503001",24.902,164.251,0,0,189.153
2016,7,"4503001",32.52,156.701,0,0,189.221
2017,7,"4503001",28.499,152.786,0,0,181.285
2018,7,"4503001",14.603,109.808,0,0,124.411
2019,7,"4503001",4.914,57.66,0,0,62.574
2020,7,"4503001",5.094,76.355,0,0,81.449
2021,7,"4503001",2.481,49.787,0,0,52.268
2022,7,"4503001",9.127,109.266,0,0,118.393
1981,8,"4503001",12.743,99.146,0,0,111.889
1982,8,"4503001",38.93,162.313,0,0,201.243
1983,8,"4503001",37.62,156.847,0,0,194.467
1984,8,"4503001",53.987,221.54,0,0,275.527
1985,8,"4503001",18.889,98.618,0,0,117.507
1986,8,"4503001",18.566,119.665,0,0,138.231
1987,8,"4503001",90.973,233.667,0,0,324.64
1988,8,"4503001",21.62,80.648,0,0,102.268
1989,8,"4503001",22.429,127.803,0,0,150.232
1990,8,"4503001",9.466,78.494,0,0,87.96
1991,8,"4503001",29.77,152.19,0,0,181.96
1992,8,"4503001",45.038,169.394,0,0,214.432
1993,8,"4503001",20.416,108.257,0,0,128.673
1994,8,"4503001",8.923,76.283,0,0,85.206
1995,8,"4503001",3.836,51.819,0,0,55.655
1996,8,"4503001",11.523,100.664,0,0,112.187
1997,8,"4503001",84.673,229.486,0,0,314.159
1998,8,"4503001",23.886,91.471,0,0,115.357
1999,8,"4503001",12.159,93.483,0,0,105.642
2000,8,"4503001",25.638,143.651,0,0,169.289
2001,8,"4503001",23.141,128.22,0,0,151.361
2002,8,"4503001",67.729,199.215,0,0,266.944
2003,8,"4503001",23.821,101.818,0,0,125.639
2004,8,"4503001",15.729,107.667,0,0,123.396
2005,8,"4503001",29.136,147.999,0,0,177.135
2006,8,"4503001",20.8,113.954,0,0,134.754
2007,8,"4503001",18.939,119.089,0,0,138.028
2008,8,"4503001",27.755,144.689,0,0,172.444
2009,8,"4503001",12.823,89.488,0,0,102.311
2010,8,"4503001",14.596,112.589,0,0,127.185
2011,8,"4503001",13.935,106.289,0,0,120.224
2012,8,"4503001",7.584,72.607,0,0,80.191
2013,8,"4503001",5.786,72.689,0,0,78.475
2014,8,"4503001",4.824,66.533,0,0,71.357
2015,8,"4503001",21.843,141.136,0,0,162.979
2016,8,"4503001",28.934,133.299,0,0,162.233
2017,8,"4503001",24.91,127.778,0,0,152.688
2018,8,"4503001",12.878,92.461,0,0,105.339
2019,8,"4503001",4.293,47.389,0,0,51.682
2020,8,"4503001",4.508,64.304,0,0,68.812
2021,8,"4503001",2.167,41.476,0,0,43.643
2022,8,"4503001",8.063,91.341,0,0,99.404
1981,9,"4503001",11.083,80.277,0,0,91.36
1982,9,"4503001",33.985,131.986,0,0,165.971
1983,9,"4503001",32.981,127.346,0,0,160.327
1984,9,"4503001",47.196,181.577,0,0,228.773
1985,9,"4503001",16.428,79.625,0,0,96.053
1986,9,"4503001",16.244,96.603,0,0,112.847
1987,9,"4503001",79.698,193.104,0,0,272.802
1988,9,"4503001",19.004,67.567,0,0,86.571
1989,9,"4503001",19.668,104.704,0,0,124.372
1990,9,"4503001",8.233,62.872,0,0,71.105
1991,9,"4503001",26.974,130.153,0,0,157.127
1992,9,"4503001",39.174,138.029,0,0,177.203
1993,9,"4503001",17.756,87.559,0,0,105.315
1994,9,"4503001",7.761,60.744,0,0,68.505
1995,9,"4503001",3.49,45.026,0,0,48.516
1996,9,"4503001",10.025,81.589,0,0,91.614
1997,9,"4503001",74.162,187.462,0,0,261.624
1998,9,"4503001",20.818,74.42,0,0,95.238
1999,9,"4503001",10.584,76.173,0,0,86.757
2000,9,"4503001",22.338,116.655,0,0,138.993
2001,9,"4503001",20.739,106.864,0,0,127.603
2002,9,"4503001",59.256,163.013,0,0,222.269
2003,9,"4503001",20.731,82.587,0,0,103.318
2004,9,"4503001",13.71,87.401,0,0,101.111
2005,9,"4503001",25.341,119.471,0,0,144.812
2006,9,"4503001",18.1,91.415,0,0,109.515
2007,9,"4503001",16.622,97.963,0,0,114.585
2008,9,"4503001",24.174,117.264,0,0,141.438
2009,9,"4503001",11.153,71.994,0,0,83.147
2010,9,"4503001",12.71,92.444,0,0,105.154
2011,9,"4503001",12.201,85.681,0,0,97.882
2012,9,"4503001",6.651,59.255,0,0,65.906
2013,9,"4503001",5.052,58.403,0,0,63.455
2014,9,"4503001",4.196,53.982,0,0,58.178
2015,9,"4503001",18.998,114.696,0,0,133.694
2016,9,"4503001",25.678,109.941,0,0,135.619
2017,9,"4503001",21.67,102.117,0,0,123.787
2018,9,"4503001",11.357,75.946,0,0,87.303
2019,9,"4503001",3.734,38.064,0,0,41.798
2020,9,"4503001",3.921,51.774,0,0,55.695
2021,9,"4503001",1.891,33.292,0,0,35.183
2022,9,"4503001",7.113,74.567,0,0,81.68
1981,10,"4503001",9.927,67.373,0,0,77.3
1982,10,"4503001",30.452,109.353,0,0,139.805
1983,10,"4503001",30.239,110.344,0,0,140.583
1984,10,"4503001",43.872,155.986,0,0,199.858
1985,10,"4503001",14.291,63.718,0,0,78.009
1986,10,"4503001",14.501,79.999,0,0,94.5
1987,10,"4503001",69.645,157.498,0,0,227.143
1988,10,"4503001",17.497,65.153,0,0,82.65
1989,10,"4503001",17.208,84.797,0,0,102.005
1990,10,"4503001",7.235,51.468,0,0,58.703
1991,10,"4503001",24.624,111.145,0,0,135.769
1992,10,"4503001",34.311,111.722,0,0,146.033
1993,10,"4503001",15.443,70.217,0,0,85.66
1994,10,"4503001",7.599,59.558,0,0,67.157
1995,10,"4503001",3.483,45.276,0,0,48.759
1996,10,"4503001",9.133,69.794,0,0,78.927
1997,10,"4503001",64.599,147.747,0,0,212.346
1998,10,"4503001",18.476,64.25,0,0,82.726
1999,10,"4503001",9.299,62.02,0,0,71.319
2000,10,"4503001",19.782,95.861,0,0,115.643
2001,10,"4503001",18.723,90.683,0,0,109.406
2002,10,"4503001",51.548,129.986,0,0,181.534
2003,10,"4503001",18.275,68.406,0,0,86.681
2004,10,"4503001",12.403,75.157,0,0,87.56
2005,10,"4503001",22.578,98.444,0,0,121.022
2006,10,"4503001",16.331,78.027,0,0,94.358
2007,10,"4503001",14.651,79.977,0,0,94.628
2008,10,"4503001",21.403,96.689,0,0,118.092
2009,10,"4503001",10.168,63.265,0,0,73.433
2010,10,"4503001",11.124,74.733,0,0,85.857
2011,10,"4503001",11.018,72.064,0,0,83.082
2012,10,"4503001",6.458,57.599,0,0,64.057
2013,10,"4503001",4.592,49.536,0,0,54.128
2014,10,"4503001",3.651,42.912,0,0,46.563
2015,10,"4503001",16.819,93.277,0,0,110.096
2016,10,"4503001",22.429,87.076,0,0,109.505
2017,10,"4503001",19.365,85.288,0,0,104.653
2018,10,"4503001",10.092,62.387,0,0,72.479
2019,10,"4503001",3.466,35.88,0,0,39.346
2020,10,"4503001",3.7,47.151,0,0,50.851
2021,10,"4503001",1.816,31.73,0,0,33.546
2022,10,"4503001",6.741,65.198,0,0,71.939
1981,11,"4503001",8.828,57.78,0,0,66.608
1982,11,"4503001",28.083,97.994,0,0,126.077
1983,11,"4503001",26.644,92.828,0,0,119.472
1984,11,"4503001",38.717,130.253,0,0,168.97
1985,11,"4503001",12.856,56.932,0,0,69.788
1986,11,"4503001",13.704,75.617,0,0,89.321
1987,11,"4503001",61.532,132.976,0,0,194.508
1988,11,"4503001",15.473,54.971,0,0,70.444
1989,11,"4503001",15.359,72.757,0,0,88.116
1990,11,"4503001",6.384,42.957,0,0,49.341
1991,11,"4503001",21.944,94.867,0,0,116.811
1992,11,"4503001",31.428,101.155,0,0,132.583
1993,11,"4503001",13.804,61.563,0,0,75.367
1994,11,"4503001",6.99,53.943,0,0,60.933
1995,11,"4503001",3.056,37.689,0,0,40.745
1996,11,"4503001",8.083,58.327,0,0,66.41
1997,11,"4503001",58.96,131.801,0,0,190.761
1998,11,"4503001",16.288,53.23,0,0,69.518
1999,11,"4503001",8.351,54.569,0,0,62.92
2000,11,"4503001",17.561,80.035,0,0,97.596
2001,11,"4503001",16.537,75.961,0,0,92.498
2002,11,"4503001",45.491,108.566,0,0,154.057
2003,11,"4503001",16.233,59.244,0,0,75.477
2004,11,"4503001",11.079,64.344,0,0,75.423
2005,11,"4503001",21.097,90.394,0,0,111.491
2006,11,"4503001",14.578,67.135,0,0,81.713
2007,11,"4503001",12.98,67.85,0,0,80.83
2008,11,"4503001",19.375,85.075,0,0,104.45
2009,11,"4503001",8.996,52.872,0,0,61.868
2010,11,"4503001",10.067,65.106,0,0,75.173
2011,11,"4503001",9.965,63.254,0,0,73.219
2012,11,"4503001",5.831,50.021,0,0,55.852
2013,11,"4503001",4.058,41.737,0,0,45.795
2014,11,"4503001",3.398,40.089,0,0,43.487
2015,11,"4503001",14.804,76.645,0,0,91.449
2016,11,"4503001",20.108,75.416,0,0,95.524
2017,11,"4503001",17.132,71.433,0,0,88.565
2018,11,"4503001",9.071,53.805,0,0,62.876
2019,11,"4503001",3.059,30.054,0,0,33.113
2020,11,"4503001",3.398,42.177,0,0,45.575
2021,11,"4503001",1.65,28.082,0,0,29.732
2022,11,"4503001",6.002,54.996,0,0,60.998
1981,12,"4503001",8.002,54.844,0,0,62.846
1982,12,"4503001",24.426,82.745,0,0,107.171
1983,12,"4503001",26.099,102.023,0,0,128.122
1984,12,"4503001",34.286,114.124,0,0,148.41
1985,12,"4503001",11.195,48.939,0,0,60.134
1986,12,"4503001",13.265,79.478,0,0,92.743
1987,12,"4503001",53.538,112.942,0,0,166.48
1988,12,"4503001",13.49,47.582,0,0,61.072
1989,12,"4503001",13.553,64.679,0,0,78.232
1990,12,"4503001",5.552,36.32,0,0,41.872
1991,12,"4503001",21.327,99.937,0,0,121.264
1992,12,"4503001",27.338,85.71,0,0,113.048
1993,12,"4503001",12.012,52.291,0,0,64.303
1994,12,"4503001",6.08,45.717,0,0,51.797
1995,12,"4503001",2.669,32.483,0,0,35.152
1996,12,"4503001",7.139,51.2,0,0,58.339
1997,12,"4503001",52.593,118.056,0,0,170.649
1998,12,"4503001",14.808,56.278,0,0,71.086
1999,12,"4503001",7.266,46.666,0,0,53.932
2000,12,"4503001",17.78,92.059,0,0,109.839
2001,12,"4503001",14.383,64.258,0,0,78.641
2002,12,"4503001",39.618,92.086,0,0,131.704
2003,12,"4503001",14.344,54.066,0,0,68.41
2004,12,"4503001",11.233,74.377,0,0,85.61
2005,12,"4503001",18.359,77.064,0,0,95.423
2006,12,"4503001",12.781,58.499,0,0,71.28
2007,12,"4503001",12.088,66.948,0,0,79.036
2008,12,"4503001",16.852,72.05,0,0,88.902
2009,12,"4503001",7.824,44.417,0,0,52.241
2010,12,"4503001",8.814,56.251,0,0,65.065
2011,12,"4503001",8.673,53.335,0,0,62.008
2012,12,"4503001",5.087,43.092,0,0,48.179
2013,12,"4503001",3.66,39.097,0,0,42.757
2014,12,"4503001",3.673,52.101,0,0,55.774
2015,12,"4503001",12.968,65.886,0,0,78.854
2016,12,"4503001",17.489,64.049,0,0,81.538
2017,12,"4503001",14.907,60.75,0,0,75.657
2018,12,"4503001",7.89,45.642,0,0,53.532
2019,12,"4503001",2.661,25.353,0,0,28.014
2020,12,"4503001",3.3,43.939,0,0,47.239
2021,12,"4503001",1.435,23.904,0,0,25.339
2022,12,"4503001",5.221,46.215,0,0,51.436
1981,1,"4511002",55.784,0.265,0,0,56.049
1982,1,"4511002",37.963,0,0,0,37.963
1983,1,"4511002",123.55,0.205,0,0,123.755
1984,1,"4511002",100.531,0.006,0,0,100.537
1985,1,"4511002",164.571,0,0,0,164.571
1986,1,"4511002",57.087,0.253,0,0,57.34
1987,1,"4511002",56.192,3.565,0,0,59.757
1988,1,"4511002",152.655,0,0,0,152.655
1989,1,"4511002",46.577,5.091,0,6.577,58.245
1990,1,"4511002",73.398,2.802,0,0.216,76.416
1991,1,"4511002",41.232,0.697,0,0,41.929
1992,1,"4511002",107.837,9.91,0,5.912,123.659
1993,1,"4511002",105.041,2.03,0,0,107.071
1994,1,"4511002",60.323,0,0,0,60.323
1995,1,"4511002",43.928,10.445,0,0,54.373
1996,1,"4511002",26.159,0.039,0,0,26.198
1997,1,"4511002",33.352,0,0,0,33.352
1998,1,"4511002",169.821,0.392,0,0,170.213
1999,1,"4511002",53.696,1.235,0,0,54.931
2000,1,"4511002",37.112,0,0,0,37.112
2001,1,"4511002",73.988,0.259,0,0.235,74.482
2002,1,"4511002",67.045,0.001,0,0,67.046
2003,1,"4511002",122.184,0.001,0,0,122.185
2004,1,"4511002",68.924,2.508,0,16.25,87.682
2005,1,"4511002",52.79,9.811,0,1.163,63.764
2006,1,"4511002",74.65,0,0,0,74.65
2007,1,"4511002",73.008,2.282,0,4.001,79.291
2008,1,"4511002",62.431,0.689,0,0,63.12
2009,1,"4511002",76.935,0,0,0,76.935
2010,1,"4511002",41.855,0.011,0,0,41.866
2011,1,"4511002",33.893,0,0,0,33.893
2012,1,"4511002",43.567,6.969,0,8.952,59.488
2013,1,"4511002",29.087,0.03,0,0,29.117
2014,1,"4511002",34.404,0,0,0,34.404
2015,1,"4511002",27.193,0,0,0,27.193
2016,1,"4511002",112.664,12.8,0,0,125.464
2017,1,"4511002",78.209,0,0,0,78.209
2018,1,"4511002",57.623,0,0,0,57.623
2019,1,"4511002",37.818,0.075,0,0,37.893
2020,1,"4511002",15.877,0,0,0,15.877
2021,1,"4511002",29.002,0.002,0,0,29.004
2022,1,"4511002",14.322,0.877,0,0,15.199
2023,1,"4511002",32.552,0,0,0,32.552
1981,2,"4511002",69.833,13.366,0,8.051,91.25
1982,2,"4511002",71.547,26.139,0,0.685,98.371
1983,2,"4511002",118.702,3.613,0,0,122.315
1984,2,"4511002",89.852,1.07,0,2.842,93.764
1985,2,"4511002",146.257,0,0,0,146.257
1986,2,"4511002",58.056,8.4,0,33.909,100.365
1987,2,"4511002",73.508,9.946,0,6.684,90.138
1988,2,"4511002",135.696,0.002,0,0,135.698
1989,2,"4511002",64.955,4.018,0,0,68.973
1990,2,"4511002",65.325,0,0,1.034,66.359
1991,2,"4511002",67.024,20.954,0,0,87.978
1992,2,"4511002",112.748,12.34,0,10.364,135.452
1993,2,"4511002",157.696,17.531,0,20.632,195.859
1994,2,"4511002",55.703,3.483,0,0,59.186
1995,2,"4511002",39.375,0,0,0,39.375
1996,2,"4511002",23.282,0.09,0,0.54,23.912
1997,2,"4511002",43.964,9.01,0,0.005,52.979
1998,2,"4511002",152.437,0.79,0,1.216,154.443
1999,2,"4511002",52.002,4.441,0,12.143,68.586
2000,2,"4511002",43.98,2.187,0,0.764,46.931
2001,2,"4511002",71.005,2.52,0,3.3,76.825
2002,2,"4511002",151.283,27.955,0,21.77,201.008
2003,2,"4511002",158.06,26.242,0,13.32,197.622
2004,2,"4511002",69.435,0.92,0,2.621,72.976
2005,2,"4511002",77.042,7.917,0,13.2,98.159
2006,2,"4511002",66.877,1.368,0,0,68.245
2007,2,"4511002",71.214,2.162,0,11.128,84.504
2008,2,"4511002",78.535,21.729,0,15.424,115.688
2009,2,"4511002",68.385,0.092,0,0,68.477
2010,2,"4511002",47.738,10.821,0,18.547,77.106
2011,2,"4511002",30.122,0.342,0,0,30.464
2012,2,"4511002",59.491,11.296,0,0,70.787
2013,2,"4511002",53.171,22.404,0,21.074,96.649
2014,2,"4511002",30.858,0.538,0,0.028,31.424
2015,2,"4511002",24.166,0,0,0,24.166
2016,2,"4511002",111.746,8.128,0,29.699,149.573
2017,2,"4511002",114.505,17.99,0,37.352,169.847
2018,2,"4511002",54.253,6.224,0,0,60.477
2019,2,"4511002",37.46,4.96,0,5.071,47.491
2020,2,"4511002",14.918,2.572,0,1.469,18.959
2021,2,"4511002",29.322,1.988,0,1.76,33.07
2022,2,"4511002",14.667,3.338,0,10.464,28.469
1981,3,"4511002",70.012,5.001,0,1.638,76.651
1982,3,"4511002",143.835,23.31,0,57.063,224.208
1983,3,"4511002",107.836,1.365,0,0.662,109.863
1984,3,"4511002",82.363,1.966,0,28.355,112.684
1985,3,"4511002",131.023,0.338,0,0.672,132.033
1986,3,"4511002",116.768,18.253,0,0,135.021
1987,3,"4511002",104.483,10.121,0,1.847,116.451
1988,3,"4511002",124.19,1.682,0,0,125.872
1989,3,"4511002",58.934,1.036,0,0,59.97
1990,3,"4511002",59.78,0.13,0,0,59.91
1991,3,"4511002",107.157,19.663,0,87.245,214.065
1992,3,"4511002",137.055,14.1,0,95.084,246.239
1993,3,"4511002",165.54,5.989,0,0,171.529
1994,3,"4511002",49.701,0.007,0,12.265,61.973
1995,3,"4511002",42.486,4.046,0,0,46.532
1996,3,"4511002",24.99,7.5,0,13.347,45.837
1997,3,"4511002",200.911,30.479,0,76.957,308.347
1998,3,"4511002",140.673,1.97,0,12.934,155.577
1999,3,"4511002",55.982,4.863,0,3.545,64.39
2000,3,"4511002",71.962,23.659,4.371,47.525,147.517
2001,3,"4511002",64.243,0.036,0,0,64.279
2002,3,"4511002",200.727,24.09,0,25.213,250.03
2003,3,"4511002",169.705,12.762,0,0,182.467
2004,3,"4511002",64.837,0.066,0,0.021,64.924
2005,3,"4511002",144.864,17.822,0,0,162.686
2006,3,"4511002",73.978,1.734,0,0,75.712
2007,3,"4511002",122.079,25.195,0,17.917,165.191
2008,3,"4511002",96.397,17.969,0,22.769,137.135
2009,3,"4511002",62.055,2.475,0,25.084,89.614
2010,3,"4511002",56.764,9.266,0,40.877,106.907
2011,3,"4511002",44.723,10.765,0,55.408,110.896
2012,3,"4511002",69.997,6.344,0,0,76.341
2013,3,"4511002",74.597,15.793,0,4.335,94.725
2014,3,"4511002",43.269,6.872,0,18.262,68.403
2015,3,"4511002",21.559,0,0,0,21.559
2016,3,"4511002",170.919,17.724,0,28.414,217.057
2017,3,"4511002",165.182,19.829,0,7.872,192.883
2018,3,"4511002",72.452,9.628,0,3.53,85.61
2019,3,"4511002",41.989,9.104,0,2.815,53.908
2020,3,"4511002",44.94,11.379,0,26.617,82.936
2021,3,"4511002",31.29,5.227,0,7.983,44.5
2022,3,"4511002",30.582,8.399,0,0.793,39.774
1981,4,"4511002",67.376,2.022,0,0,69.398
1982,4,"4511002",240.877,22.052,0,0.354,263.283
1983,4,"4511002",114.355,10.884,0,61.699,186.938
1984,4,"4511002",210.178,21.882,0,235.755,467.815
1985,4,"4511002",122.02,1.714,0,23.478,147.212
1986,4,"4511002",114.007,5.669,0,0,119.676
1987,4,"4511002",235.09,29.799,0,84.012,348.901
1988,4,"4511002",117.057,5.261,0,0.7,123.018
1989,4,"4511002",69.309,9.15,0,10.985,89.444
1990,4,"4511002",61.735,7.463,0,0,69.198
1991,4,"4511002",150.169,19.453,0,81.712,251.334
1992,4,"4511002",150.332,14.371,0,81.823,246.526
1993,4,"4511002",156.8,1.376,0,0.793,158.969
1994,4,"4511002",103.421,21.701,0,0.436,125.558
1995,4,"4511002",38.877,0.391,0,7.055,46.323
1996,4,"4511002",40.943,7.173,0,0,48.116
1997,4,"4511002",275.716,23.457,0,0,299.173
1998,4,"4511002",132.922,0.417,0,0,133.339
1999,4,"4511002",51.075,0.483,0,0,51.558
2000,4,"4511002",103.91,19.463,0,51.482,174.855
2001,4,"4511002",127.112,22.76,0,3.613,153.485
2002,4,"4511002",222.716,20.916,0,67.278,310.91
2003,4,"4511002",182.596,11.688,0,0,194.284
2004,4,"4511002",60.737,2.754,0,32.859,96.35
2005,4,"4511002",130.758,5.018,0,0,135.776
2006,4,"4511002",141.129,19.56,0,39.039,199.728
2007,4,"4511002",162.311,21.227,0,0,183.538
2008,4,"4511002",110.557,9.752,0,1.1,121.409
2009,4,"4511002",63.351,3.224,0,29.746,96.321
2010,4,"4511002",53.223,3.071,0,50.376,106.67
2011,4,"4511002",54.927,7.532,0,58.812,121.271
2012,4,"4511002",62.275,0.01,0,0,62.285
2013,4,"4511002",78.046,5.532,0,0,83.578
2014,4,"4511002",49.773,0.448,0,0,50.221
2015,4,"4511002",47.661,12.962,0,0.348,60.971
2016,4,"4511002",205.948,14.463,0,17.346,237.757
2017,4,"4511002",153.914,2.056,0,0,155.97
2018,4,"4511002",83.58,7.775,0,0.349,91.704
2019,4,"4511002",39.473,0.099,0,0,39.572
2020,4,"4511002",65.25,2.872,0,0,68.122
2021,4,"4511002",31.895,0.036,0,0,31.931
2022,4,"4511002",49.709,9.216,0,43.762,102.687
1981,5,"4511002",84.337,5.291,0,2.606,92.234
1982,5,"4511002",264.738,8.281,0,0,273.019
1983,5,"4511002",168.414,15.598,0,55.943,239.955
1984,5,"4511002",192.514,11.242,0,237.001,440.757
1985,5,"4511002",123.806,5.843,0,0,129.649
1986,5,"4511002",116.462,1.284,0,0,117.746
1987,5,"4511002",374.881,23.123,0,0,398.004
1988,5,"4511002",110.025,0.023,0,0,110.048
1989,5,"4511002",159.033,19.501,0,2.28,180.814
1990,5,"4511002",56.531,10.042,0,1.112,67.685
1991,5,"4511002",204.293,12.79,0,0,217.083
1992,5,"4511002",175.669,13.491,0,57.782,246.942
1993,5,"4511002",139.796,8.65,0,7.33,155.776
1994,5,"4511002",99.356,1.348,0,0.021,100.725
1995,5,"4511002",37.988,0.046,0,0,38.034
1996,5,"4511002",77.796,6.73,0,5.165,89.691
1997,5,"4511002",354.242,22.279,0,0,376.521
1998,5,"4511002",118.457,0.289,0,0,118.746
1999,5,"4511002",49.682,0.668,0,0,50.35
2000,5,"4511002",132.605,12.81,0,0,145.415
2001,5,"4511002",152.12,14.827,0,0,166.947
2002,5,"4511002",279.511,21.172,0,16.295,316.978
2003,5,"4511002",163.448,0.001,0,0,163.449
2004,5,"4511002",92.499,16.269,2.253,0,111.021
2005,5,"4511002",156.175,17.008,0,16.489,189.672
2006,5,"4511002",160.807,4.991,0,0,165.798
2007,5,"4511002",144.318,13.067,0,14.419,171.804
2008,5,"4511002",164.621,18.68,0,23.428,206.729
2009,5,"4511002",98.192,5.573,0,0,103.765
2010,5,"4511002",76.206,4.942,0,0,81.148
2011,5,"4511002",75.277,6.327,0,40.051,121.655
2012,5,"4511002",67.875,2.46,0,0,70.335
2013,5,"4511002",80.924,0.071,0,0,80.995
2014,5,"4511002",49.337,1.609,0,0,50.946
2015,5,"4511002",127.621,10.273,0,0,137.894
2016,5,"4511002",194.569,0.108,0,0,194.677
2017,5,"4511002",142.299,0.098,0,0,142.397
2018,5,"4511002",75.057,0.739,0,0.411,76.207
2019,5,"4511002",35.08,0,0,0,35.08
2020,5,"4511002",60.841,1.067,0,0,61.908
2021,5,"4511002",29.961,0.055,0,0,30.016
2022,5,"4511002",80.644,8.312,0,0,88.956
1981,6,"4511002",79.507,0.025,0,0,79.532
1982,6,"4511002",259.78,10.346,0,5.78,275.906
1983,6,"4511002",157.126,7.062,0,57.419,221.607
1984,6,"4511002",213.612,5.924,0,190.469,410.005
1985,6,"4511002",113.826,0.001,0,0,113.827
1986,6,"4511002",106.163,1.255,0,0,107.418
1987,6,"4511002",334.704,0.4,0,0.019,335.123
1988,6,"4511002",99.92,0.167,0,0,100.087
1989,6,"4511002",157.694,1.26,0,0,158.954
