"wy_simple","wym","cod_cuenca","AE","SLZ","SM","SP","SUZ","STORAGE"
2002,12,"3421001",0.033,36.972,0.263,0,0,37.268
2003,12,"3421001",0.798,12.045,14.814,0,0,27.657
2004,12,"3421001",0.533,6.694,5.546,0,0,12.773
2005,12,"3421001",0.026,6.813,0.193,0,0,7.032
2006,12,"3421001",0.033,3.1,0.276,0,0,3.409
2007,12,"3421001",0.082,9.381,0.869,0,0,10.332
2008,12,"3421001",0.496,4.498,3.515,0,0,8.509
2009,12,"3421001",0.068,2.793,0.443,0,0,3.304
2010,12,"3421001",0.449,7.787,3.765,0,0,12.001
2011,12,"3421001",0.155,8.385,1.273,0,0,9.813
