"wy_simple","wym","cod_cuenca","AE","SLZ","SM","SP","SUZ","STORAGE"
2000,4,"3421001",0.555,16.18,30.61,2.334,0,49.679
2001,4,"3421001",0.384,9.381,3.456,0,0,13.221
2002,4,"3421001",0,80.137,37.36,0,0,117.497
2003,4,"3421001",0.704,41.093,8.141,0,0,49.938
2004,4,"3421001",0.65,20.043,27.35,10.356,0,58.399
2005,4,"3421001",0.588,12.956,7.369,0,0,20.913
2006,4,"3421001",0.662,6.253,16.021,0,0,22.936
2007,4,"3421001",0.875,28.09,34.378,0,0,63.343
2008,4,"3421001",0.62,13.39,13.179,0,0,27.189
2009,4,"3421001",0.606,6.325,11.98,0,0,18.911
2010,4,"3421001",0,11.671,21.808,1.918,0,35.397
2011,4,"3421001",0,17.747,28.504,9.607,0,55.858
2012,4,"3421001",0.036,10.011,0.414,0,0,10.461
2013,4,"3421001",0.762,13.399,26.373,0,0,40.534
2014,4,"3421001",0.085,6.309,1.029,0,0,7.423
2015,4,"3421001",0.784,4.103,18.592,0,0,23.479
2016,4,"3421001",0.493,34.47,30.257,0,0,65.22
2017,4,"3421001",0.924,82.733,16.738,0,0,100.395
2018,4,"3421001",0.55,41.178,29.033,1.198,0,71.959
2019,4,"3421001",0.136,19.323,1.151,0,0,20.61
1981,5,"3421001",0.639,8.646,7.992,0,0,17.277
1982,5,"3421001",0.487,13.733,3.24,0,0,17.46
1983,5,"3421001",0,31.228,22.766,27.217,0,81.211
1984,5,"3421001",0.8,76.565,32.257,0,0,109.622
1985,5,"3421001",0,36.122,21.091,4.391,0,61.604
1986,5,"3421001",0.948,18.08,16.666,0,0,35.694
1987,5,"3421001",0.956,101.929,37.681,0,0,140.566
1988,5,"3421001",0.024,48.821,0.176,0,0,49.021
1989,5,"3421001",0,26.098,25.633,0,0,51.731
1990,5,"3421001",0.043,13.368,0.63,0,0,14.041
1991,5,"3421001",1.597,15.099,11.524,0,0,28.22
1992,5,"3421001",0,19.775,16.674,3.476,0,39.925
1993,5,"3421001",0.032,9.329,0.532,0,0,9.893
1994,5,"3421001",0,12.345,13.135,0.12,0,25.6
1995,5,"3421001",0.034,5.74,0.17,0,0,5.944
1996,5,"3421001",0,3.934,5.536,0,0,9.47
1997,5,"3421001",0.759,97.857,35.921,0,0,134.537
1998,5,"3421001",0.149,47.988,1.074,0,0,49.211
1999,5,"3421001",0.043,22.408,0.372,0,0,22.823
2000,5,"3421001",0,16.176,18.959,0,0,35.135
2001,5,"3421001",0.874,8.81,7.695,0,0,17.379
2002,5,"3421001",0,75.197,18.512,18.965,0,112.674
2003,5,"3421001",0.101,38.504,0.863,0,0,39.468
2004,5,"3421001",1.49,25.935,22.553,0,0,49.978
2005,5,"3421001",0,12.14,1.636,2.3,0,16.076
2006,5,"3421001",0.732,5.874,8.369,0,0,14.975
2007,5,"3421001",1.046,26.324,18.507,0,0,45.877
2008,5,"3421001",0.23,12.547,1.874,0,0,14.651
2009,5,"3421001",0.154,5.927,1.266,0,0,7.347
2010,5,"3421001",0.367,11.342,4.446,0,0,16.155
2011,5,"3421001",1.194,20.152,21.159,0,0,42.505
2012,5,"3421001",0.607,9.382,4.583,0,0,14.572
2013,5,"3421001",0.67,12.624,6.851,0,0,20.145
2014,5,"3421001",0.005,5.912,0.043,0,0,5.96
2015,5,"3421001",1.289,12.831,31.651,0,0,45.771
2016,5,"3421001",0.751,32.312,7.122,0,0,40.185
2017,5,"3421001",0.527,77.551,3.02,0,0,81.098
2018,5,"3421001",0.547,38.947,6.545,0,0,46.039
2019,5,"3421001",0.005,18.106,0.041,0,0,18.152
1981,6,"3421001",0.131,8.12,0.95,0,0,9.201
1982,6,"3421001",0.893,13.538,17.595,0,0,32.026
1983,6,"3421001",0,34.283,30.342,9.262,0,73.887
1984,6,"3421001",1.181,72.128,10.743,0,0,84.052
1985,6,"3421001",0.555,34.493,3.136,0,0,38.184
1986,6,"3421001",0.235,16.977,1.49,0,0,18.702
1987,6,"3421001",0,98.45,20.424,0.033,0,118.907
1988,6,"3421001",0.201,45.841,1.251,0,0,47.293
1989,6,"3421001",1.249,26.965,25.004,0,0,53.218
1990,6,"3421001",0.04,12.552,0.202,0,0,12.794
1991,6,"3421001",0,14.178,1.486,0.69,0,16.354
1992,6,"3421001",0.235,18.761,1.632,0,0,20.628
1993,6,"3421001",0.007,8.759,0.089,0,0,8.855
1994,6,"3421001",0.191,11.595,1.857,0,0,13.643
1995,6,"3421001",1.375,7.539,15.232,0,0,24.146
1996,6,"3421001",0.085,3.694,0.857,0,0,4.636
1997,6,"3421001",0,93.614,24.5,0,0,118.114
1998,6,"3421001",0.012,45.06,0.075,0,0,45.147
