"wy_simple","wym","cod_cuenca","AE","SLZ","SM","SP","SUZ","STORAGE"
1995,8,"3421001",0.379,7.826,8.348,7.497,0,24.05
1996,8,"3421001",0.12,5.342,1.854,0,0,7.316
1997,8,"3421001",1.217,30.571,28.361,314.284,0,374.433
1998,8,"3421001",0.406,17.95,7.581,234.688,0,260.625
1999,8,"3421001",0.416,14.342,9.568,190.544,0,214.87
2000,8,"3421001",0.394,12.342,7.416,202.869,0,223.021
2001,8,"3421001",0.495,13.896,9.55,130.448,0,154.389
2002,8,"3421001",0.861,36.868,17.642,137.949,0,193.32
2003,8,"3421001",0.531,23.3,8.398,19.247,0,51.476
2004,8,"3421001",0.493,13.137,8.316,77.046,0,98.992
2005,8,"3421001",0.331,10.155,5.946,71.956,0,88.388
2006,8,"3421001",0.058,9.586,0.898,0,0,10.542
2007,8,"3421001",0.499,12.261,8.885,14.044,0,35.689
2008,8,"3421001",0.487,8.26,8.037,14.112,0,30.896
2009,8,"3421001",0.117,5.862,1.906,0,0,7.885
2010,8,"3421001",0.331,7.256,6.087,64.241,0,77.915
2011,8,"3421001",0.635,11.5,8.825,66.414,0,87.374
2012,8,"3421001",0.415,9.759,7.514,24.513,0,42.201
2013,8,"3421001",0.163,10.606,2.824,0,0,13.593
2014,8,"3421001",0.334,6.352,7.691,55.48,0,69.857
2015,8,"3421001",0.521,11.69,10.843,130.485,0,153.539
2016,8,"3421001",0.509,23.078,8.246,59.497,0,91.33
2017,8,"3421001",0.617,30.817,10.625,148.689,0,190.748
2018,8,"3421001",0.4,22.735,8.687,68.501,0,100.323
2019,8,"3421001",0.292,12.669,5.055,0,0,18.016
1981,9,"3421001",0.486,6.854,8.222,106.93,0,122.492
1982,9,"3421001",0.766,15.593,11.498,44.478,0,72.335
1983,9,"3421001",0.479,13.97,8.161,216.464,0,239.074
1984,9,"3421001",0.55,15.066,7.934,389.668,0,413.218
1985,9,"3421001",0.489,11.472,8.312,348.56,0,368.833
1986,9,"3421001",0.561,11.685,8.837,351.025,0,372.108
1987,9,"3421001",0.655,38.093,11.874,548.502,0,599.124
1988,9,"3421001",0.436,20.792,8.601,478.314,0,508.143
1989,9,"3421001",0.585,19.86,10.397,545.438,0,576.28
1990,9,"3421001",0.608,12.292,9.447,468.269,0,490.616
1991,9,"3421001",0.323,10.205,6.295,522.089,0,538.912
1992,9,"3421001",0.449,10.172,7.667,652.57,0,670.858
1993,9,"3421001",0.517,8.582,8.441,583.366,0,600.906
1994,9,"3421001",0.697,9.587,9.632,10.54,0,30.456
1995,9,"3421001",0.498,7.866,10.743,0,0,19.107
1996,9,"3421001",0.019,4.97,0.321,0,0,5.31
1997,9,"3421001",0.847,29.351,12.02,299.343,0,341.561
1998,9,"3421001",0.465,17.258,8.245,219.602,0,245.57
1999,9,"3421001",0.495,13.832,8.325,177.354,0,200.006
2000,9,"3421001",0.502,12.027,8.153,187.63,0,208.312
2001,9,"3421001",0.593,13.669,11.056,117.726,0,143.044
2002,9,"3421001",0.671,34.991,9.848,124.877,0,170.387
2003,9,"3421001",0.555,22.19,8.164,5.128,0,36.037
2004,9,"3421001",0.572,12.867,8.512,60.271,0,82.222
2005,9,"3421001",0.457,10.081,8.673,54.032,0,73.243
2006,9,"3421001",0.01,8.918,0.128,0,0,9.056
2007,9,"3421001",0.492,11.903,7.812,0.756,0,20.963
2008,9,"3421001",0.544,8.196,7.628,0,0,16.368
2009,9,"3421001",0.016,5.454,0.301,0,0,5.771
2010,9,"3421001",0.441,7.192,7.512,50.659,0,65.804
2011,9,"3421001",0.628,11.418,9.446,48.258,0,69.75
2012,9,"3421001",0.467,9.722,8.283,7.38,0,25.852
2013,9,"3421001",0.026,9.868,0.415,0,0,10.309
2014,9,"3421001",0.46,6.441,7.913,40.717,0,55.531
2015,9,"3421001",0.563,11.478,8.726,115.615,0,136.382
2016,9,"3421001",0.774,22.167,9.856,44.341,0,77.138
2017,9,"3421001",0.524,29.429,9.335,130.632,0,169.92
2018,9,"3421001",0.668,21.755,9.025,52.516,0,83.964
2019,9,"3421001",0.057,11.787,0.858,0,0,12.702
1981,10,"3421001",0.771,7.457,10.949,90.376,0,109.553
1982,10,"3421001",0.718,15.627,11.185,24.36,0,51.89
1983,10,"3421001",0.909,15.126,16.971,201.665,0,234.671
1984,10,"3421001",0.75,15.769,16.164,376.725,0,409.408
1985,10,"3421001",0.599,11.51,9.766,327.916,0,349.791
1986,10,"3421001",0.621,11.716,10.007,330.834,0,353.178
1987,10,"3421001",0.556,36.218,9.497,530.808,0,577.079
1988,10,"3421001",1.057,21.577,16.232,463.685,0,502.551
1989,10,"3421001",0.794,19.427,12.651,528.365,0,561.237
1990,10,"3421001",0.478,12.254,9.49,449.691,0,471.913
1991,10,"3421001",0.497,10.417,10.234,505.056,0,526.204
1992,10,"3421001",0.879,11.02,12.164,633.75,0,657.813
1993,10,"3421001",0.549,8.98,9.882,564.202,0,583.613
1994,10,"3421001",0.4,9.722,7.151,0,0,17.273
