"wy_simple","wym","cod_cuenca","AE","SLZ","SM","SP","SUZ","STORAGE"
1999,10,"3421001",0.873,14.367,10.714,0,0,25.954
2000,10,"3421001",1.294,14.662,13.292,0,0,29.248
2001,10,"3421001",1.293,17.07,13.001,0,0,31.364
2002,10,"3421001",2.718,32.289,64.054,0,0,99.061
2003,10,"3421001",1.356,11.696,13.592,0,0,26.644
2004,10,"3421001",1.009,9.815,12.501,0,0,23.325
2005,10,"3421001",1.747,10.487,16.961,0,0,29.195
2006,10,"3421001",0.372,4.866,4.772,0,0,10.01
2007,10,"3421001",0.363,7.426,5.921,0,0,13.71
2008,10,"3421001",1.107,5.605,12.3,0,0,19.012
2009,10,"3421001",2.494,5.057,28.11,0,0,35.661
2010,10,"3421001",0.628,6.409,6.296,0,0,13.333
2011,10,"3421001",1.039,9.465,13.875,0,0,24.379
2012,10,"3421001",1.843,6.038,18.538,0,0,26.419
2013,10,"3421001",1.071,6.077,12.833,0,0,19.981
2014,10,"3421001",0.637,4.964,6.27,0,0,11.871
2015,10,"3421001",1.73,15.563,19.429,0,0,36.722
2016,10,"3421001",2.194,26.329,41.164,0,0,69.687
2017,10,"3421001",2.877,32.519,46.082,0,0,81.478
2018,10,"3421001",1.034,13.762,12.82,0,0,27.616
2019,10,"3421001",1.734,5.667,22.546,0,0,29.947
1981,11,"3421001",0.399,7.078,6.661,0,0,14.138
1982,11,"3421001",0.904,22.721,12.243,0,0,35.868
1983,11,"3421001",1.531,92.607,136.043,0,0,230.181
1984,11,"3421001",2.662,63.625,40.672,0,0,106.959
1985,11,"3421001",0.911,21.84,11.474,0,0,34.225
1986,11,"3421001",2.488,21.915,46.928,0,0,71.331
1987,11,"3421001",1.986,74.086,144.065,45.358,0,265.495
1988,11,"3421001",1.592,37.591,23.22,0,0,62.403
1989,11,"3421001",1.587,46.575,63.18,0,0,111.342
1990,11,"3421001",0.469,14.42,6.821,0,0,21.71
1991,11,"3421001",0.663,13.229,8.643,0,0,22.535
1992,11,"3421001",2.035,37.936,65.612,0,0,105.583
1993,11,"3421001",0.5,12.028,8.701,0,0,21.229
1994,11,"3421001",0.536,4.937,6.917,0,0,12.39
1995,11,"3421001",0.376,9.08,4.94,0,0,14.396
1996,11,"3421001",0.795,4.765,7.763,0,0,13.323
1997,11,"3421001",2.052,74.853,117.611,0,0,194.516
1998,11,"3421001",1.481,27.38,20.955,0,0,49.816
1999,11,"3421001",0.288,12.981,4.372,0,0,17.641
2000,11,"3421001",1.675,14.246,20.89,0,0,36.811
2001,11,"3421001",0.331,15.604,4.779,0,0,20.714
2002,11,"3421001",1.033,29.379,13.795,0,0,44.207
2003,11,"3421001",0.76,10.829,9.04,0,0,20.629
2004,11,"3421001",0.92,9.148,13.412,0,0,23.48
2005,11,"3421001",1.015,10.71,18.811,0,0,30.536
2006,11,"3421001",0.551,4.528,7.559,0,0,12.638
2007,11,"3421001",0.336,6.863,5.853,0,0,13.052
2008,11,"3421001",1.44,5.71,26.07,0,0,33.22
2009,11,"3421001",0.333,4.607,3.95,0,0,8.89
2010,11,"3421001",1.971,6.623,28.464,0,0,37.058
2011,11,"3421001",1.51,9.692,21.807,0,0,33.009
2012,11,"3421001",0.661,6.079,8.466,0,0,15.206
2013,11,"3421001",0.174,5.518,2.21,0,0,7.902
2014,11,"3421001",0.729,4.638,10.807,0,0,16.174
2015,11,"3421001",0.209,14.098,2.844,0,0,17.151
2016,11,"3421001",1.872,25.356,32.359,0,0,59.587
2017,11,"3421001",1.053,31.348,19.63,0,0,52.031
