"wy_simple","wym","cod_cuenca","AE","SLZ","SM","SP","SUZ","STORAGE"
2007,5,"3421001",0.519,12.556,102.116,0,0,115.191
2008,5,"3421001",0.339,6.403,60.204,0,0,66.946
2009,5,"3421001",0.277,4.542,49.627,0,0,54.446
2010,5,"3421001",0.348,10.142,88.919,0,0,99.409
2011,5,"3421001",0.664,18.658,114.421,0,0,133.743
2012,5,"3421001",0.397,10.421,65.932,0,0,76.75
2013,5,"3421001",0.384,10.151,83.98,0,0,94.515
2014,5,"3421001",0.197,4.034,36.638,0,0,40.869
2015,5,"3421001",0.874,27.361,139.429,0,0,167.664
2016,5,"3421001",0.627,35.597,127.896,0,0,164.12
2017,5,"3421001",1.246,63.845,162.964,0,0,228.055
2018,5,"3421001",0.352,28.032,88.953,0,0,117.337
2019,5,"3421001",0.101,8.479,19.014,0,0,27.594
1981,6,"3421001",0.383,11.438,61.549,0,0,73.37
1982,6,"3421001",0.467,19.563,107.882,0,0,127.912
1983,6,"3421001",0,37.461,151.734,36.017,0,225.212
1984,6,"3421001",1.006,70.586,175.308,0,0,246.9
1985,6,"3421001",0.568,24.841,73.277,0,0,98.686
1986,6,"3421001",0.653,17.947,92.988,0,0,111.588
1987,6,"3421001",0,129.009,221.132,0.079,0,350.22
1988,6,"3421001",0.401,41.89,56.134,0,0,98.425
1989,6,"3421001",0.913,44.772,150.417,0,0,196.102
1990,6,"3421001",0.357,14.156,41.507,0,0,56.02
1991,6,"3421001",0,15.821,90.162,1.447,0,107.43
1992,6,"3421001",0.827,32.602,127.899,0,0,161.328
1993,6,"3421001",0.166,12.044,44.934,0,0,57.144
1994,6,"3421001",0.225,5.132,47.004,0,0,52.361
1995,6,"3421001",0.399,4.29,59.694,0,0,64.383
1996,6,"3421001",0.233,3.615,50.062,0,0,53.91
1997,6,"3421001",0,115.897,205.927,0,0,321.824
1998,6,"3421001",0.398,38.881,55.354,0,0,94.633
1999,6,"3421001",0.35,12.559,42.597,0,0,55.506
2000,6,"3421001",0.916,18.942,105.498,0,0,125.356
2001,6,"3421001",0.285,12.324,72.476,0,0,85.085
2002,6,"3421001",1.07,58.495,163.818,0,0,223.383
2003,6,"3421001",0.504,18.808,51.228,0,0,70.54
2004,6,"3421001",0.531,12.389,74.988,0,0,87.908
2005,6,"3421001",0.339,10.662,82.219,0.166,0,93.386
2006,6,"3421001",0.466,6.035,50.118,0,0,56.619
2007,6,"3421001",0.829,12.081,90.37,0,0,103.28
2008,6,"3421001",0.34,7.29,64.393,0,0,72.023
2009,6,"3421001",0.226,4.113,43.531,0,0,47.87
2010,6,"3421001",0.422,11.521,90.179,0,0,102.122
2011,6,"3421001",0.756,16.743,95.147,0,0,112.646
2012,6,"3421001",0.367,9.351,53.24,0,0,62.958
2013,6,"3421001",0.417,9.11,73.089,0,0,82.616
2014,6,"3421001",0.354,5.105,52.295,0,0,57.754
2015,6,"3421001",0.887,26.12,126.193,0,0,153.2
2016,6,"3421001",0.862,31.942,104.553,0,0,137.357
2017,6,"3421001",0.773,61.433,146.527,0,0,208.733
2018,6,"3421001",0.561,25.154,72.627,0,0,98.342
2019,6,"3421001",0.221,8.008,28.504,0,0,36.733
1981,7,"3421001",0.549,10.653,53.456,0,0,64.658
1982,7,"3421001",0.912,17.524,85.583,0,0,104.019
1983,7,"3421001",0.971,46.911,145.658,0,0,193.54
1984,7,"3421001",1.283,63.111,138.303,0,0,202.697
1985,7,"3421001",0.511,23.328,65.662,0,0,89.501
1986,7,"3421001",0.643,18.467,87.349,0,0,106.459
1987,7,"3421001",1.409,126.533,194.88,0,0,322.822
1988,7,"3421001",0.384,37.491,45.585,0,0,83.46
1989,7,"3421001",1.203,40.03,121.224,0,0,162.457
1990,7,"3421001",0.354,12.805,34.797,0,0,47.956
1991,7,"3421001",0.652,14.744,76.56,0,0,91.956
1992,7,"3421001",0.877,30.665,105.55,0,0,137.092
1993,7,"3421001",0.278,10.785,35.33,0,0,46.393
1994,7,"3421001",0.205,5.05,43.122,0,0,48.377
1995,7,"3421001",0.496,3.853,48.069,0,0,52.418
1996,7,"3421001",0.419,3.233,38.973,0,0,42.625
1997,7,"3421001",1.807,118.476,188.906,0,0,309.189
1998,7,"3421001",0.378,34.956,45.406,0,0,80.74
1999,7,"3421001",0,14.391,64.277,10.04,0,88.708
2000,7,"3421001",0.747,16.936,82.067,0,0,99.75
2001,7,"3421001",0.66,12.19,66.183,0,0,79.033
2002,7,"3421001",1.284,52.403,128.608,0,0,182.295
2003,7,"3421001",0.346,16.85,39.14,0,0,56.336
2004,7,"3421001",0.63,12.025,64.61,0,0,77.265
2005,7,"3421001",0.607,9.569,68.425,0,0,78.601
2006,7,"3421001",0.357,5.404,37.883,0,0,43.644
2007,7,"3421001",0.468,11.007,70.972,0,0,82.447
2008,7,"3421001",0.469,6.555,50.526,0,0,57.55
2009,7,"3421001",0.447,3.683,33.38,0,0,37.51
2010,7,"3421001",0.643,10.319,72.648,0,0,83.61
2011,7,"3421001",0.877,16.241,82.57,0,0,99.688
2012,7,"3421001",0.427,8.361,41.081,0,0,49.869
2013,7,"3421001",0.531,8.146,57.142,0,0,65.819
2014,7,"3421001",0.46,5.455,47.652,0,0,53.567
2015,7,"3421001",1.079,31.153,123.607,0,0,155.839
2016,7,"3421001",0.74,28.825,82.866,0,0,112.431
2017,7,"3421001",0.882,57.168,123.758,0,0,181.808
2018,7,"3421001",0.65,24.357,68.234,0,0,93.241
2019,7,"3421001",0.286,7.178,22.315,0,0,29.779
1981,8,"3421001",0.351,9.559,39.045,0,0,48.955
1982,8,"3421001",0.813,15.732,63.774,0,0,80.319
1983,8,"3421001",1.182,42.427,111.222,0,0,154.831
