"wy_simple","volume_original","volume_prom_pronostico","catchment_code"
"1981",69.4084134840673,49.3097750410276,3820001
"1982",129.814272004845,67.1996609199092,3820001
"1983",268.72214401003,151.283547193304,3820001
"1984",450.140827924177,444.524581446863,3820001
"1985",90.7545600033876,93.9917145143908,3820001
"1986",116.364384004343,85.1193537498516,3820001
"1987",460.936480829306,936.62486760026,3820001
"1988",99.1019606152144,94.4501053353352,3820001
"1989",100.981406291909,118.488304221566,3820001
"1990",68.4945064764586,36.1361244960548,3820001
"1991",153.876304390521,73.0806033950227,3820001
"1992",204.681889285188,177.372399775011,3820001
"1993",115.833564686414,55.1680315835871,3820001
"1994",51.011424001904,53.9892837684349,3820001
"1995",32.5757067440731,26.6371572099596,3820001
"1996",18.2155153661971,47.073304649607,3820001
"1997",866.005696032325,1201.66920558622,3820001
"1998",123.175296004598,121.791669054608,3820001
"1999",60.8601600022716,54.443552441333,3820001
"2000",110.862432004138,117.332905627602,3820001
"2001",79.5096000029677,68.0528588860222,3820001
"2002",372.990528013923,378.841256602482,3820001
"2003",93.1564800034772,71.2850183520213,3820001
"2004",40.2736320015033,69.939533434636,3820001
"2005",108.863136004063,47.4756204540707,3820001
"2006",35.2070496013141,39.0543738292336,3820001
"2007",98.2800000036684,81.152072600865,3820001
"2008",56.153952002096,51.3208515358394,3820001
"2009",17.5330656006544,37.884780201925,3820001
"2010",19.6024320007317,54.9786486455033,3820001
"2011",25.8616800009653,60.1382760023906,3820001
"2012",17.6877216006602,35.7409802151082,3820001
"2013",14.6089686862596,41.4484882982013,3820001
"2014",15.5982107082745,27.2404364347363,3820001
"2015",93.7060682349931,108.142364947202,3820001
"2016",221.364319956733,137.708131103982,3820001
"2017",155.542729142152,111.554153870527,3820001
"2018",45.5635584017007,66.9329491280443,3820001
"2019",27.8982147543425,36.035362689807,3820001
"2020",128.032095752469,35.4465849616862,3820001
"1981",103.637663996728,95.590163581871,4320001
"1982",311.928191990153,166.068045333266,4320001
"1983",333.856511989461,341.603110848087,4320001
"1984",925.91423997077,719.669112473747,4320001
"1985",166.247423994752,253.174526091663,4320001
"1986",187.086239994094,212.834012469827,4320001
"1987",625.324960922785,608.639298727716,4320001
"1988",137.16863999567,111.062199858544,4320001
"1989",125.051039996052,146.313145378313,4320001
"1990",83.7336959973567,75.7929633303245,4320001
"1991",203.622335993572,176.48159085313,4320001
"1992",367.061759988412,426.623059585107,4320001
"1993",132.052895995831,290.326865401349,4320001
"1994",126.39023999601,162.156884219091,4320001
"1995",81.947807997413,73.4047488445814,4320001
"1996",56.3362559982214,86.4540670994356,4320001
"1997",1151.08127996366,1239.13541203015,4320001
"1998",158.68828799499,338.622234293592,4320001
"1999",132.659423995812,127.76672455197,4320001
"2000",138.042143995642,192.506050418085,4320001
"2001",141.555167995531,168.268839763252,4320001
"2002",700.323839977891,324.30302258007,4320001
"2003",209.730815993379,126.75774833103,4320001
"2004",87.1853759972477,113.685951582353,4320001
"2005",285.983999990972,130.245620833819,4320001
"2006",165.273695994782,115.247979820642,4320001
"2007",203.662943993571,172.460627487647,4320001
"2008",240.653375992403,144.001593162054,4320001
"2009",88.5159359972056,104.626611076223,4320001
"2010",48.5853119984662,81.2423054835203,4320001
"2011",48.937823998455,121.183421643269,4320001
"2012",57.8543039981736,93.8158304475741,4320001
"2013",59.7896639981125,67.8182870182327,4320001
"2014",43.6622399986217,77.5458506068232,4320001
"2015",175.761951553162,152.377994091772,4320001
"2016",374.198399988187,200.919947314623,4320001
"2017",133.196831995795,110.783817732608,4320001
"2018",80.0951327974715,91.4855490725455,4320001
"2019",59.6116799981181,66.672104673071,4320001
"2020",218.309188681963,70.2573667844135,4320001
"1981",70.850592009843,95.5487824964845,4703002
"1982",648.855488533674,866.663041344378,4703002
"1983",302.684046793025,300.311350078648,4703002
"1984",465.711387339481,1218.99459874031,4703002
"1985",89.8641068376384,98.0772867232841,4703002
"1986",270.563328037588,233.167806114882,4703002
"1987",779.405760108281,1081.95175076478,4703002
"1988",82.9405440115227,89.3082179618921,4703002
"1989",217.300320030189,180.942687172541,4703002
"1990",87.3486720121351,70.0989930366071,4703002
"1991",343.484928047719,222.204803858884,4703002
"1992",296.224128041153,342.169254917417,4703002
"1993",169.820064023592,206.993212696522,4703002
"1994",115.221312016007,98.4019445840542,4703002
"1995",65.6233920091168,100.184867966916,4703002
"1996",36.6137280050866,89.5082641566435,4703002
"1997",652.256064090616,806.872215193181,4703002
"1998",60.1309440083538,75.5048281997522,4703002
"1999",150.374880020891,90.24702522513,4703002
"2000",297.991872041399,162.04385724145,4703002
"2001",303.519744042167,203.16787256724,4703002
"2002",543.181248075462,381.690585521077,4703002
"2003",193.802976026924,141.871114887272,4703002
"2004",106.96579201486,102.104460901637,4703002
"2005",458.988768063766,209.825000846867,4703002
"2006",279.935136038891,160.789059199565,4703002
"2007",158.652000022041,164.237584748927,4703002
"2008",289.605024040234,231.816619294915,4703002
"2009",189.611712026342,146.05234014068,4703002
"2010",67.5120960093792,111.077360153644,4703002
"2011",106.077600014737,157.150479651325,4703002
"2012",58.7805120081662,76.8857949417146,4703002
"2013",81.6471360113429,112.929639428392,4703002
"2014",49.6514880068978,91.6081554232433,4703002
"2015",247.014144034317,113.877594485661,4703002
"2016",241.634016033569,152.199615158983,4703002
"2017",96.2749152133751,127.352861179202,4703002
"2018",78.1035264108506,91.3734806707808,4703002
"2019",24.6254688034211,72.5209011661027,4703002
"2020",218.382417123039,107.18685473627,4703002
"1981",468.944639898706,448.185234646669,5410002
