"cod_cuenca","wy_simple","volume_mm","volume_GL"
3414001,2004,7.96690083127861,16.1074656009196
3414001,2003,14.8874111666865,30.0993408017184
3414001,2005,16.2653765975185,32.8853088018775
3414001,1982,22.672349622264,45.838915202617
3414001,1983,43.8147873077157,88.5846572358267
3414001,1984,40.096678692543,81.0673920046282
3414001,1981,8.62052571488369,17.428963200995
3414001,1986,16.0358367727144,32.421225601851
3414001,1987,34.4562188633792,69.6635205876618
3414001,1988,14.1566968873392,28.6219840016341
3414001,1985,14.2193999195652,28.748756878069
3414001,1990,7.00108821278935,14.154787406637
3414001,1991,9.18635746086947,18.5729607952153
3414001,1992,23.3506345340044,47.2102704026953
3414001,1989,11.114499804894,22.471275477145
3414001,1994,9.16640809373865,18.5326272010581
3414001,1995,5.45391409968998,11.0267136006295
3414001,1996,8.15206827465883,16.481836800941
3414001,1997,51.5242441975137,104.171623144409
3414001,1998,17.9543617959298,36.3000960020724
3414001,1999,12.3079940656691,24.8842800014207
3414001,2000,16.5570377563161,33.4749888019111
3414001,2001,11.5073467923135,23.2655328013283
3414001,2002,35.1061746450144,70.9776000040522
3414001,2017,30.5926701366064,61.8522048035312
3414001,2006,6.30133399404254,12.7400256007273
3414001,2007,18.7350064108497,37.8784018637442
3414001,1993,8.34432960116876,16.8705504009631
3414001,2008,4.94080413138482,9.9893088005703
3414001,2009,7.79624074283125,15.7624253446981
3414001,2010,6.39928086231567,12.9380544007386
3414001,2011,8.52453987320533,17.234899200984
3414001,2012,6.45082689744265,13.0422700807446
3414001,2013,10.1501663440866,20.5215878411716
3414001,2014,6.49477649482782,13.1311272967497
3414001,2015,14.4718084054749,29.2590758954979
3414001,2016,33.0681789434676,66.857184003817
3414001,2018,12.2546831066069,24.7764960014145
3414001,2019,9.07119621655168,18.3401280010471
3414001,2020,16.0825716382139,32.5157140678605
3421001,2004,6.94132254494856,6.81341653113169
3421001,1981,7.71362829839462,7.5714911996899
3421001,1982,10.807688165304,10.6085375995655
3421001,1983,12.9115019677613,12.6735849514591
3421001,1984,33.7468809860171,33.1250356535574
3421001,1985,9.0019041616758,8.83602832596502
3421001,1986,11.9056855580625,11.6863024690866
3421001,1987,22.5854548310459,22.169278305755
3421001,1988,13.3999348462087,13.1530175994613
3421001,1989,8.57853206364317,8.42045759965514
3421001,1990,4.81955432143483,4.73074559980625
3421001,1991,5.27770861597164,5.18045759978783
3421001,1992,16.5066769910705,16.2025125841267
3421001,1993,5.85874156472043,5.75078399976447
3421001,1994,5.52284977068538,5.42108159977797
3421001,1995,3.37573013444401,3.31352639986429
3421001,1996,5.34381310688368,5.24534399978517
3421001,1997,74.8979925083192,73.5178659398462
3421001,1998,9.24538283545294,9.07502047913883
3421001,1999,5.65919578456387,5.55491519977249
3421001,2000,8.44130583017864,8.28575999966066
3421001,2001,5.44002110763847,5.3397791997813
3421001,2002,35.7677228789686,35.1086399985621
3421001,2003,9.49351614098581,9.3185814943336
3421001,2017,10.5098157366447,10.3161539916214
3421001,2018,8.87673247101764,8.71316314273266
3421001,2005,14.0258562167207,13.7674052734844
3421001,2006,4.08060997894944,4.00541759983595
3421001,2008,5.59260618447139,5.4895526295802
3421001,2009,2.77612455242965,2.7249695998884
3421001,2010,5.11002678482993,5.01586559979457
3421001,2011,4.80564685197531,4.71709439980681
3421001,2012,2.38706749539744,2.34308159990404
3421001,2013,2.46391066525923,2.41850879990095
3421001,2014,2.9752302227932,2.92040639988039
3421001,2015,4.84129574521016,4.75208639980537
3421001,2016,16.7468142484452,16.438224892342
3421001,2007,8.88333273570679,8.71964178599577
3421001,2019,3.13039376733555,3.07271078460938
3421001,2020,10.6972126861064,10.5000978243821
3430003,1990,4.78680671099103,35.7281505293817
3430003,1981,4.06214185229328,30.3193390360205
3430003,1991,3.26230840609831,24.3494782312228
3430003,1983,11.840938692608,88.3793446364351
3430003,1984,11.9810320822656,89.424984875546
3430003,1985,8.01690067099843,59.8371840030349
3430003,1986,6.29477650439273,46.9834560023829
3430003,1987,7.62372537861975,56.9025708300642
3430003,1988,5.20565343564873,38.8543721904628
3430003,1989,5.22815456512247,39.0223179190992
3430003,2003,6.13949940839994,45.8244864023242
3430003,2014,2.86930403592718,21.4161408010862
3430003,1992,7.50768347607349,56.0364480028422
3430003,1993,2.58298946217692,19.2791232009778
3430003,1994,2.62943136683795,19.6257600009954
3430003,1982,7.26158305406612,54.199584002749
3430003,1996,2.56657505021048,19.1566080009716
3430003,1997,13.2499009687368,98.8956698885421
3430003,1998,7.54987206543837,56.3513385681933
3430003,1999,4.07256626510159,30.3971456015417
3430003,2000,6.08039488856341,45.3833373630622
3430003,2001,3.98753295720348,29.7624672015095
3430003,2002,15.0881784128444,112.616352005712
3430003,2013,3.42770658800684,25.5839904012976
3430003,1995,2.00582699416106,14.9712518407593
3430003,2015,5.12796590817429,38.2745218134904
3430003,2004,2.60768053462009,19.4634144009872
3430003,2017,11.2488266175466,83.9598912042584
3430003,2009,4.20781321166442,31.4066125713153
3430003,2006,1.66783390417791,12.4485120006314
3430003,2007,6.39502249002698,47.7316800024209
3430003,2008,2.03971641393374,15.2241984007722
3430003,2010,2.21512373729581,16.5334176008386
3430003,2011,3.43740905892368,25.6564084792258
3430003,2012,1.99310901893631,14.8763264007545
3430003,2018,4.46863265800538,33.3533376016916
3430003,2019,4.96568374081699,37.0632672018799
3430003,2016,10.7787586054641,80.4513600040804
3430003,2020,5.65480579226727,42.2067914496418
3430003,2005,5.97782092325522,44.617737602263
3820001,2006,4.89006455836497,35.2070496013141
