"wy_simple","wym","cod_cuenca","Q_mm"
"1981",4,"3414001",1.92859605810042
"1981",4,"3421001",1.49663736215357
"1981",4,"3430003",0.99123137989141
"1981",4,"3820001",2.77211142627729
"1981",4,"4302001",3.23140095384768
"1981",4,"4311001",7.41991925937917
"1981",4,"4313001",7.69102115284173
"1981",4,"4320001",4.18504935521647
"1981",4,"4501001",7.37894165248269
"1981",4,"4503001",3.248988915638
"1981",4,"4511002",11.3152746207863
"1981",4,"4513001",7.59503992006926
"1981",4,"4515002",4.99878884392503
"1981",4,"4522002",5.71960814195471
"1981",4,"4531002",2.90679192063581
"1981",4,"4703002",8.7268416807946
"1981",4,"5100001",7.31040956538951
"1981",4,"5101001",9.45352545569556
"1981",4,"5200001",5.8206056286035
"1981",4,"5401003",15.187536765373
"1981",4,"5410002",13.7415172918944
"1981",4,"5411001",4.80230421803921
"1981",4,"5414001",8.69783144081007
"1981",4,"5707002",27.6014823321029
"1981",4,"5710001",30.6226921459188
"1981",4,"5721001",8.22522144766133
"1981",4,"5722001",13.53638367207
"1981",4,"5722002",11.4900339452007
"1981",4,"5730008",19.0790765782177
"1981",4,"5741001",12.6503096620897
"1981",4,"6003001",55.2312091946571
"1981",4,"6008005",9.86705089915425
"1981",4,"6013001",83.6336656101395
"1981",4,"6027001",88.8105963641411
"1981",4,"6028001",50.7487447012619
"1981",4,"7103001",112.458618202694
"1981",4,"7104002",88.6248233791428
"1981",4,"7112001",83.9113348768397
"1981",4,"7115001",121.930193881516
"1981",4,"7330001",231.126044846273
"1981",4,"7358001",249.37491148844
"1981",4,"7381001",28.1911123387488
"1981",4,"8104001",156.615608225411
"1981",4,"8106001",193.252966571249
"1981",4,"7317005",153.529431066967
"1981",4,"7350003",241.96250996154
"1981",4,"7321002",97.2979206195546
"1981",4,"7354002",173.225360607998
"1981",4,"7355002",138.340898965998
"1981",5,"3414001",1.93459309584664
"1981",5,"3421001",1.63368755170089
"1981",5,"3430003",0.966922307162554
"1981",5,"3820001",2.43297779464701
"1981",5,"4302001",3.04198417991049
"1981",5,"4311001",7.87854967364804
"1981",5,"4313001",7.6371541987338
"1981",5,"4320001",3.58951453090063
"1981",5,"4501001",8.42334357972069
"1981",5,"4503001",2.60568064575918
"1981",5,"4511002",8.88421650650888
"1981",5,"4513001",8.6285294370442
"1981",5,"4515002",4.47052630821419
"1981",5,"4522002",4.42922158489184
"1981",5,"4531002",2.13511989434135
"1981",5,"4703002",8.82380658835899
"1981",5,"5100001",6.45464262986891
"1981",5,"5101001",12.3407978652526
"1981",5,"5200001",8.3376769227299
"1981",5,"5401003",22.085010351902
"1981",5,"5410002",15.6866617084842
"1981",5,"5411001",4.67769924727589
"1981",5,"5414001",8.47745774923299
"1981",5,"5707002",28.011971244798
"1981",5,"5710001",29.0121931478651
"1981",5,"5721001",9.49307064603867
"1981",5,"5722001",15.9003081839027
"1981",5,"5722002",15.7141517994063
"1981",5,"5730008",20.861599769399
"1981",5,"5741001",8.66874764097551
"1981",5,"6003001",54.0382516585983
"1981",5,"6008005",7.9176871342722
"1981",5,"6013001",67.8777175404404
"1981",5,"6027001",86.6047363146656
"1981",5,"6028001",49.0667313825647
"1981",5,"7103001",129.743066567253
"1981",5,"7104002",95.6428369752102
"1981",5,"7112001",93.6547340708429
"1981",5,"7115001",127.325803328768
"1981",5,"7330001",256.465951704112
"1981",5,"7358001",117.245305410536
"1981",5,"7381001",29.3305125944078
"1981",5,"8104001",170.719611287116
"1981",5,"8106001",231.478312681329
"1981",5,"7317005",163.43447577254
"1981",5,"7350003",299.887421780257
"1981",5,"7321002",101.400683771953
"1981",5,"7354002",194.573726903035
"1981",5,"7355002",240.11180791712
"1981",6,"3414001",1.31839865448498
"1981",6,"3421001",1.5473380103098
"1981",6,"3430003",0.731355816671019
"1981",6,"3820001",1.69386808579671
"1981",6,"4302001",3.08924792018198
"1981",6,"4311001",7.12945561522098
"1981",6,"4313001",7.8562968713955
"1981",6,"4320001",2.83046669059428
"1981",6,"4501001",7.63690784046988
"1981",6,"4503001",1.70716521355343
"1981",6,"4511002",8.68513467921626
"1981",6,"4513001",6.35874739196603
"1981",6,"4515002",2.13720931348524
"1981",6,"4522002",1.65660152609303
"1981",6,"4531002",6.05162189947104
"1981",6,"4703002",9.21777424428987
"1981",6,"5100001",6.49370737426956
"1981",6,"5101001",10.9743802447308
"1981",6,"5200001",7.96884639667451
"1981",6,"5401003",24.8298976134269
"1981",6,"5410002",15.4981977370576
"1981",6,"5411001",4.09907386580024
"1981",6,"5414001",9.42395201890284
"1981",6,"5707002",27.4611886530806
"1981",6,"5710001",29.1518912221286
"1981",6,"5721001",10.2500981517649
"1981",6,"5722001",10.1886211838936
"1981",6,"5722002",17.3731913542002
"1981",6,"5730008",15.2366207114851
"1981",6,"5741001",13.7958643122648
"1981",6,"6003001",58.0649530018516
"1981",6,"6008005",5.56766911264955
"1981",6,"6013001",65.4514598665235
"1981",6,"6027001",56.2914711953037
"1981",6,"6028001",44.1768783774952
"1981",6,"7103001",82.5679804879048
"1981",6,"7104002",72.9615346075318
"1981",6,"7112001",73.9809411528506
"1981",6,"7115001",103.891930925509
"1981",6,"7330001",205.200277324043
"1981",6,"7358001",169.442507077001
"1981",6,"7381001",11.1284811704267
"1981",6,"8104001",166.782418973487
"1981",6,"8106001",166.810511743362
"1981",6,"7317005",130.004949891231
"1981",6,"7350003",190.247664876477
"1981",6,"7321002",95.5248524808625
"1981",6,"7354002",115.114735576596
"1981",6,"7355002",200.029932630355
"1981",7,"3414001",1.1234830571119
"1981",7,"3421001",1.41424880889969
"1981",7,"3430003",0.651000160988817
"1981",7,"3820001",1.33817378850295
"1981",7,"4302001",2.85554133340479
"1981",7,"4311001",2.0197922178983
"1981",7,"4313001",5.57533049547467
"1981",7,"4320001",2.88989826210993
"1981",7,"4501001",6.71554440085742
"1981",7,"4503001",0.358566407549985
"1981",7,"4511002",9.18511881035574
"1981",7,"4513001",4.5751553470762
"1981",7,"4515002",0.910085405799241
"1981",7,"4522002",0.290613373928479
"1981",7,"4531002",0.568667799041288
"1981",7,"4703002",14.8898395852018
"1981",7,"5100001",6.86141772064633
"1981",7,"5101001",2.05744737950851
"1981",7,"5200001",3.631131150634
"1981",7,"5401003",35.7162715873462
"1981",7,"5410002",25.4978262426875
"1981",7,"5411001",5.27589858967604
"1981",7,"5414001",10.7903079454215
"1981",7,"5707002",29.170693112279
"1981",7,"5710001",43.4334796304368
"1981",7,"5721001",11.0858418826358
"1981",7,"5722001",12.8224877249095
"1981",7,"5722002",22.9164149442174
"1981",7,"5730008",10.0485419214835
"1981",7,"5741001",1.26139877231686
"1981",7,"6003001",76.7741216661423
"1981",7,"6008005",6.70399071775882
"1981",7,"6013001",68.8996284378213
"1981",7,"6027001",72.5361961560713
"1981",7,"6028001",65.0698866718831
"1981",7,"7103001",107.453685552138
"1981",7,"7104002",105.542608963125
"1981",7,"7112001",118.249435672675
"1981",7,"7115001",125.492001425127
"1981",7,"7330001",114.869964161641
"1981",7,"7358001",98.0191050340967
"1981",7,"7381001",11.1028632403172
"1981",7,"8104001",161.270657679134
"1981",7,"8106001",182.73643644853
"1981",7,"7317005",167.766694700639
"1981",7,"7350003",164.004928450158
"1981",7,"7321002",119.047733005242
"1981",7,"7354002",99.5685693554457
"1981",7,"7355002",177.152672674031
"1981",8,"3414001",0.690884388905596
"1981",8,"3421001",0.970001983822404
"1981",8,"3430003",0.512574162111312
"1981",8,"3820001",1.40815373971244
"1981",8,"4302001",2.82231445342481
"1981",8,"4311001",4.24316992137971
"1981",8,"4313001",7.60259597112333
"1981",8,"4320001",2.70017439919458
"1981",8,"4501001",5.79289593552721
"1981",8,"4503001",1.88470535249562
"1981",8,"4511002",7.55599118548788
"1981",8,"4513001",3.76260023626419
"1981",8,"4515002",0.30165221443887
"1981",8,"4522002",0.143727266453759
"1981",8,"4531002",0.386524391404406
"1981",8,"4703002",13.1208026495586
"1981",8,"5100001",4.92108261803054
"1981",8,"5101001",4.03672939144626
"1981",8,"5200001",4.29483822126399
"1981",8,"5401003",57.5696033813948
"1981",8,"5410002",45.5829345207576
"1981",8,"5411001",4.53304290190698
"1981",8,"5414001",9.82400151481712
"1981",8,"5707002",44.0158427777191
"1981",8,"5710001",70.7369726218303
"1981",8,"5721001",24.3799062157844
"1981",8,"5722001",16.675699967214
"1981",8,"5722002",27.4411913952918
"1981",8,"5730008",7.74123862900596
"1981",8,"5741001",2.06475767816767
"1981",8,"6003001",138.863633415119
"1981",8,"6008005",30.7009444939904
"1981",8,"6013001",94.2727498599706
"1981",8,"6027001",62.993131211087
"1981",8,"6028001",113.013273445175
"1981",8,"7103001",138.836295396563
"1981",8,"7104002",147.335274198133
"1981",8,"7112001",200.14319798914
"1981",8,"7115001",169.415083559451
"1981",8,"7330001",59.0234555651902
"1981",8,"7358001",99.3466775627754
"1981",8,"7381001",12.3407371130491
"1981",8,"8104001",149.259260369219
"1981",8,"8106001",147.377339876356
"1981",8,"7317005",205.995705208658
"1981",8,"7350003",122.240068743287
"1981",8,"7321002",153.304257610068
"1981",8,"7354002",98.9957275572341
"1981",8,"7355002",125.501126014272
"1981",9,"3414001",0.850838633210269
"1981",9,"3421001",0.704175668836591
"1981",9,"3430003",0.455968749899832
"1981",9,"3820001",1.81253644872707
"1981",9,"4302001",3.16941909847065
"1981",9,"4311001",4.40174171622879
"1981",9,"4313001",7.25609185621831
"1981",9,"4320001",2.63708550020103
"1981",9,"4501001",5.194073951065
"1981",9,"4503001",1.5452388258203
"1981",9,"4511002",8.14259870712874
"1981",9,"4513001",3.21536787279254
"1981",9,"4515002",0.0885386365422367
