"date","value","i_ens"
"2023-04-01",16.2435379043164,1
"2023-04-01",16.3060550704541,2
"2023-04-01",16.2170829787793,3
"2023-04-01",16.381669045979,4
"2023-04-01",16.6059513106885,5
"2023-04-01",16.236085893208,6
"2023-04-01",16.2994174972119,7
"2023-04-01",16.6444416060986,8
"2023-04-01",16.4637508407178,9
"2023-04-01",16.6574211135449,10
"2023-04-01",16.4427099242749,11
"2023-04-01",16.3825645461621,12
"2023-04-01",16.1915683761182,13
"2023-04-01",16.2994174972119,14
"2023-04-01",16.3565673842969,15
"2023-04-01",16.2993888869824,16
"2023-04-01",16.4931240096631,17
"2023-04-01",16.2167205825391,18
"2023-04-01",15.9714412704053,19
"2023-04-01",16.4669685378613,20
"2023-04-01",16.6045074477734,21
"2023-04-01",15.2193412795605,22
"2023-04-01",16.2435379043164,23
"2023-04-01",15.7806072249951,24
"2023-04-01",16.1740665450635,25
"2023-04-01",16.4760856643262,26
"2023-04-01",15.1287555709424,27
"2023-04-01",16.1119575515332,28
"2023-04-01",16.7337503448071,29
"2023-04-01",15.764801026875,30
"2023-04-02",16.3645601223608,1
"2023-04-02",16.3744935940405,2
"2023-04-02",16.1548442791602,3
"2023-04-02",16.1420860241553,4
"2023-04-02",16.2748441647192,5
"2023-04-02",16.0945606182715,6
"2023-04-02",16.2432413052222,7
"2023-04-02",16.4425172756812,8
"2023-04-02",16.4658508251807,9
"2023-04-02",16.0760679196021,10
"2023-04-02",15.6864833782812,11
"2023-04-02",16.0797967861792,12
"2023-04-02",15.8455543469092,13
"2023-04-02",15.8961877773901,14
"2023-04-02",15.3791112850806,15
"2023-04-02",15.8889722775122,16
"2023-04-02",15.7934532116553,17
"2023-04-02",15.7084932278296,18
"2023-04-02",16.0062923382422,19
"2023-04-02",15.726105685105,20
"2023-04-02",16.3604183148047,21
"2023-04-02",16.0389575909277,22
"2023-04-02",16.5424032162329,23
"2023-04-02",16.0141754101416,24
"2023-04-02",16.2748441647192,25
"2023-04-02",16.5699176739355,26
"2023-04-02",15.6650628994604,27
"2023-04-02",15.8781785915991,28
