"date","value","i_ens"
"2023-02-01",13.1470832824707,1
"2023-02-01",12.7126007080078,2
"2023-02-01",12.4681949615479,3
"2023-02-01",12.6945791244507,4
"2023-02-01",13.0524663925171,5
"2023-02-01",12.7959136962891,6
"2023-02-01",13.3047113418579,7
"2023-02-01",12.7351875305176,8
"2023-02-01",12.4529256820679,9
"2023-02-01",12.7516078948975,10
"2023-02-01",13.1506338119507,11
"2023-02-01",13.2676839828491,12
"2023-02-01",12.5784940719604,13
"2023-02-01",12.9158487319946,14
"2023-02-01",13.1850881576538,15
"2023-02-01",12.894510269165,16
"2023-02-01",13.1665382385254,17
"2023-02-01",12.9317083358765,18
"2023-02-01",13.2439699172974,19
"2023-02-01",12.5161533355713,20
"2023-02-01",12.9942331314087,21
"2023-02-01",13.6192960739136,22
"2023-02-01",13.1272058486938,23
"2023-02-01",12.5676765441895,24
"2023-02-01",12.9036350250244,25
"2023-02-01",13.1085252761841,26
"2023-02-01",12.3042335510254,27
"2023-02-01",13.1824932098389,28
"2023-02-01",12.5476589202881,29
"2023-02-01",13.1841869354248,30
"2023-02-02",16.1815462112427,1
"2023-02-02",16.6086931228638,2
"2023-02-02",17.2351951599121,3
"2023-02-02",16.59068775177,4
"2023-02-02",17.0786981582642,5
"2023-02-02",15.8128318786621,6
"2023-02-02",16.6626482009888,7
"2023-02-02",16.3182554244995,8
"2023-02-02",16.2964353561401,9
"2023-02-02",16.00475025177,10
"2023-02-02",15.79638671875,11
"2023-02-02",15.7375793457031,12
"2023-02-02",15.7090244293213,13
"2023-02-02",15.884222984314,14
"2023-02-02",16.1397094726562,15
"2023-02-02",15.79638671875,16
"2023-02-02",16.5639600753784,17
"2023-02-02",16.5939626693726,18
"2023-02-02",15.7272968292236,19
"2023-02-02",15.7272968292236,20
"2023-02-02",16.5744161605835,21
"2023-02-02",16.6604480743408,22
"2023-02-02",16.084246635437,23
"2023-02-02",16.2886838912964,24
"2023-02-02",16.3624582290649,25
"2023-02-02",16.6504125595093,26
"2023-02-02",15.8025426864624,27
"2023-02-02",15.9151735305786,28
"2023-02-02",16.7294015884399,29
"2023-02-02",17.2351951599121,30
"2023-02-03",15.0210380554199,1
"2023-02-03",15.6370544433594,2
"2023-02-03",15.1443042755127,3
"2023-02-03",15.3795156478882,4
"2023-02-03",16.0228757858276,5
"2023-02-03",15.8771381378174,6
"2023-02-03",15.8936347961426,7
"2023-02-03",15.3366022109985,8
"2023-02-03",15.804347038269,9
"2023-02-03",15.7351531982422,10
"2023-02-03",15.0388059616089,11
"2023-02-03",15.1429262161255,12
"2023-02-03",15.9798536300659,13
"2023-02-03",15.5848703384399,14
"2023-02-03",15.164402961731,15
"2023-02-03",15.9798536300659,16
"2023-02-03",15.4621257781982,17
"2023-02-03",15.5078554153442,18
"2023-02-03",15.2028293609619,19
"2023-02-03",15.4825563430786,20
"2023-02-03",15.6839818954468,21
"2023-02-03",15.7425537109375,22
"2023-02-03",14.9309206008911,23
"2023-02-03",15.1266145706177,24
"2023-02-03",15.3231296539307,25
"2023-02-03",14.749439239502,26
"2023-02-03",14.9580049514771,27
"2023-02-03",15.3303594589233,28
