"date","value","i_ens"
"2023-03-01",13.8734722138843,1
"2023-03-01",13.8085222245654,2
"2023-03-01",13.7313833238086,3
"2023-03-01",13.4871187211475,4
"2023-03-01",13.7263889314136,5
"2023-03-01",13.672221183916,6
"2023-03-01",13.9644355775317,7
"2023-03-01",13.7844982148608,8
"2023-03-01",13.5984430314502,9
"2023-03-01",13.85305404677,10
"2023-03-01",13.6803627015552,11
"2023-03-01",13.954299926897,12
"2023-03-01",13.6392154694995,13
"2023-03-01",13.844867706438,14
"2023-03-01",13.9602594377002,15
"2023-03-01",13.8900966645679,16
"2023-03-01",13.8198080064258,17
"2023-03-01",13.8761291505298,18
"2023-03-01",13.7252616883716,19
"2023-03-01",13.8602590562305,20
"2023-03-01",13.7972049714526,21
"2023-03-01",13.9344596864185,22
"2023-03-01",13.7343692780933,23
"2023-03-01",13.7066860200366,24
"2023-03-01",13.7959766389331,25
"2023-03-01",13.8921642304858,26
"2023-03-01",13.7310991288623,27
"2023-03-01",13.7736635209521,28
"2023-03-01",13.5511360169849,29
"2023-03-01",13.656578064104,30
"2023-03-02",16.6803207400732,1
"2023-03-02",15.5440158847266,2
"2023-03-02",16.6803207400732,3
"2023-03-02",15.3906831744604,4
"2023-03-02",15.7644443515234,5
"2023-03-02",15.470485687583,6
"2023-03-02",15.1906862262183,7
"2023-03-02",15.8958015445166,8
"2023-03-02",15.5652246478491,9
"2023-03-02",15.9660406115942,10
"2023-03-02",16.0666170123511,11
"2023-03-02",16.0620326999121,12
"2023-03-02",15.8654994967871,13
"2023-03-02",15.7172565463477,14
"2023-03-02",15.7644443515234,15
"2023-03-02",15.7911405566626,16
"2023-03-02",16.3872833255225,17
"2023-03-02",15.558734894126,18
"2023-03-02",15.2216529849463,19
"2023-03-02",15.7466497424536,20
"2023-03-02",15.8958015445166,21
"2023-03-02",16.5172195437842,22
"2023-03-02",16.0620326999121,23
"2023-03-02",15.6301193240576,24
"2023-03-02",16.2717895511084,25
"2023-03-02",15.5496845248633,26
"2023-03-02",15.8098039630347,27
"2023-03-02",16.0354232791357,28
"2023-03-02",15.4880123141699,29
"2023-03-02",15.8818130496436,30
"2023-03-03",13.5990180999268,1
"2023-03-03",13.7437849074829,2
"2023-03-03",13.7319994002808,3
"2023-03-03",13.7060537368286,4
"2023-03-03",13.5355033904541,5
"2023-03-03",13.7253580123413,6
"2023-03-03",13.6926126510132,7
"2023-03-03",13.5804567367065,8
"2023-03-03",13.6832637816895,9
"2023-03-03",13.4973764449585,10
"2023-03-03",13.6185503036011,11
"2023-03-03",13.8426141768921,12
"2023-03-03",13.3293380767334,13
"2023-03-03",13.7425460845459,14
"2023-03-03",13.5678091079224,15
"2023-03-03",13.6731433898437,16
"2023-03-03",13.6386718780029,17
"2023-03-03",13.4423790008057,18
"2023-03-03",13.5490312606323,19
"2023-03-03",13.9828529387939,20
"2023-03-03",13.5483627349365,21
"2023-03-03",13.4725189239014,22
"2023-03-03",13.7600898772705,23
"2023-03-03",13.5692777663696,24
"2023-03-03",13.4466342956055,25
"2023-03-03",13.3535184890259,26
"2023-03-03",13.7665300399292,27
"2023-03-03",13.4353380233276,28
"2023-03-03",13.4329204589355,29
"2023-03-03",13.8208608657349,30
"2023-03-04",15.0570163769604,1
"2023-03-04",15.0081453366162,2
"2023-03-04",15.2695217175366,3
"2023-03-04",15.4623222393872,4
"2023-03-04",15.0940170330884,5
"2023-03-04",15.4233121914746,6
"2023-03-04",15.0870208783032,7
"2023-03-04",15.2807722134473,8
"2023-03-04",15.0961103482129,9
"2023-03-04",15.6109848065259,10
"2023-03-04",14.9808979077222,11
"2023-03-04",14.7601957363965,12
"2023-03-04",15.2721080822827,13
"2023-03-04",15.3380003018262,14
"2023-03-04",15.550338749397,15
"2023-03-04",15.0292949719312,16
"2023-03-04",15.4366369290234,17
"2023-03-04",15.4980764431836,18
"2023-03-04",15.1700897259595,19
"2023-03-04",14.7362728161694,20
"2023-03-04",15.1973638577344,21
"2023-03-04",15.0981245083691,22
"2023-03-04",15.5363779110791,23
"2023-03-04",14.8732967419507,24
"2023-03-04",15.3557043118359,25
"2023-03-04",14.997981075752,26
"2023-03-04",15.2284536404492,27
"2023-03-04",15.2742443127515,28
"2023-03-04",14.9275102658154,29
"2023-03-04",15.4667787594678,30
"2023-03-05",14.8693933512476,1
"2023-03-05",14.7063417460229,2
"2023-03-05",14.7154989268091,3
"2023-03-05",14.5794935251978,4
"2023-03-05",14.7160253550317,5
"2023-03-05",14.5600910212305,6
"2023-03-05",14.8783998514917,7
"2023-03-05",14.999289515188,8
"2023-03-05",14.6499176050928,9
"2023-03-05",14.7791090037134,10
"2023-03-05",14.4119672800806,11
"2023-03-05",14.4530668284204,12
"2023-03-05",14.5538167979028,13
"2023-03-05",14.4216423060205,14
"2023-03-05",14.5057430292871,15
"2023-03-05",14.0539598490503,16
"2023-03-05",14.4216423060205,17
"2023-03-05",14.3449010874536,18
"2023-03-05",14.6103029276636,19
"2023-03-05",14.5071249033716,20
"2023-03-05",14.5039262797144,21
"2023-03-05",15.0169477488306,22
"2023-03-05",14.8368234659937,23
"2023-03-05",14.3531503702905,24
"2023-03-05",14.7804679896143,25
"2023-03-05",14.6591768290308,26
"2023-03-05",14.442275049856,27
"2023-03-05",14.9193115259912,28
"2023-03-05",14.4216423060205,29
"2023-03-05",14.4655895258691,30
"2023-03-06",11.3694639181299,1
"2023-03-06",11.4723787283105,2
"2023-03-06",12.1682100271387,3
"2023-03-06",12.1501817678613,4
"2023-03-06",12.8014059042139,5
"2023-03-06",12.2383403753442,6
"2023-03-06",12.2859888052148,7
"2023-03-06",12.0978794073267,8
"2023-03-06",12.2414627050562,9
"2023-03-06",12.4648408865137,10
"2023-03-06",12.302693364541,11
"2023-03-06",12.2421388601465,12
"2023-03-06",12.4746789907617,13
"2023-03-06",11.8686799978418,14
"2023-03-06",11.8028697942896,15
"2023-03-06",12.2261104559106,16
"2023-03-06",12.2444572424097,17
"2023-03-06",12.2200918172998,18
"2023-03-06",12.2120580648584,19
"2023-03-06",12.5954809164209,20
"2023-03-06",12.3414087270898,21
"2023-03-06",11.5437831854028,22
"2023-03-06",12.559227940957,23
"2023-03-06",12.0932426428003,24
"2023-03-06",12.4851970647974,25
"2023-03-06",11.4567356084985,26
"2023-03-06",12.2627305959863,27
"2023-03-06",12.11365318052,28
"2023-03-06",12.4068355535669,29
"2023-03-06",11.5620088552637,30
"2023-03-07",13.5696182222827,1
"2023-03-07",13.671576497124,2
"2023-03-07",13.8908777208789,3
"2023-03-07",13.5737581224902,4
"2023-03-07",13.7339916201099,5
"2023-03-07",13.5579833956226,6
"2023-03-07",13.8102064104541,7
"2023-03-07",13.9287052126392,8
"2023-03-07",13.7962369890674,9
"2023-03-07",13.6750555010303,10
"2023-03-07",13.8804645510181,11
"2023-03-07",13.8250198336108,12
"2023-03-07",13.732894894646,13
"2023-03-07",13.8124809236987,14
"2023-03-07",13.8442335100635,15
"2023-03-07",13.8622264833911,16
"2023-03-07",14.1362037630542,17
"2023-03-07",13.5051698656543,18
"2023-03-07",13.4794435472949,19
"2023-03-07",13.7397661180957,20
"2023-03-07",13.3762168856128,21
"2023-03-07",13.8434944124683,22
"2023-03-07",13.7898702593311,23
"2023-03-07",13.7898702593311,24
"2023-03-07",13.8644180269702,25
"2023-03-07",14.0341997118457,26
"2023-03-07",13.9704275103076,27
"2023-03-07",14.0009479494556,28
"2023-03-07",13.6912488909229,29
"2023-03-07",13.9240741701587,30
"2023-03-08",13.9157457325488,1
"2023-03-08",13.9475936863452,2
"2023-03-08",14.0442371342212,3
"2023-03-08",14.0095252964526,4
"2023-03-08",13.9335470173389,5
"2023-03-08",13.8966541264087,6
"2023-03-08",14.0347309086353,7
"2023-03-08",13.924692151311,8
"2023-03-08",14.0326995823413,9
"2023-03-08",14.0531034443408,10
"2023-03-08",14.1598348591357,11
"2023-03-08",13.9914197895557,12
"2023-03-08",14.1852359745532,13
"2023-03-08",14.2522144291431,14
"2023-03-08",13.9426631901294,15
"2023-03-08",13.6726102802783,16
"2023-03-08",14.2148761723071,17
