"date","value","i_ens"
"2023-03-01",17.2053318041553,1
"2023-03-01",17.0323410052051,2
"2023-03-01",17.2889080065479,3
"2023-03-01",17.2942085283984,4
"2023-03-01",17.2051830309619,5
"2023-03-01",17.2757835406055,6
"2023-03-01",17.2765903490771,7
"2023-03-01",17.3475379961719,8
"2023-03-01",17.5171947497119,9
"2023-03-01",17.368881227373,10
"2023-03-01",17.2876205462207,11
"2023-03-01",17.0866279619922,12
"2023-03-01",17.0904216784229,13
"2023-03-01",17.4259567278613,14
"2023-03-01",17.185646058916,15
"2023-03-01",17.3869857805957,16
"2023-03-01",17.1552734392871,17
"2023-03-01",17.3335170763721,18
"2023-03-01",17.236125947832,19
"2023-03-01",17.3674278277148,20
"2023-03-01",17.2526645678271,21
"2023-03-01",17.3975410479297,22
"2023-03-01",17.1761150377979,23
"2023-03-01",17.1399135607471,24
"2023-03-01",17.4876213091602,25
"2023-03-01",17.0837764757861,26
"2023-03-01",17.6013946551074,27
"2023-03-01",17.4404830950488,28
"2023-03-01",17.3238601702441,29
"2023-03-01",16.96941566646,30
"2023-03-02",18.5931034053271,1
"2023-03-02",18.2844104731982,2
"2023-03-02",18.7609195674365,3
"2023-03-02",18.2466354335254,4
"2023-03-02",18.0141544307178,5
"2023-03-02",18.3543739283984,6
"2023-03-02",18.596080776543,7
"2023-03-02",18.3530006373828,8
"2023-03-02",18.8028488124316,9
"2023-03-02",18.5580024684375,10
"2023-03-02",18.3487968409961,11
"2023-03-02",17.9129219020313,12
"2023-03-02",18.2553386653369,13
"2023-03-02",18.9463138545459,14
"2023-03-02",18.435113903374,15
"2023-03-02",18.2844104731982,16
"2023-03-02",18.35770606646,17
"2023-03-02",18.7541103328174,18
"2023-03-02",18.5580024684375,19
"2023-03-02",18.5264358485645,20
"2023-03-02",18.1935634578174,21
"2023-03-02",18.3487968409961,22
"2023-03-02",18.2553386653369,23
"2023-03-02",17.8537750209277,24
"2023-03-02",19.0078735316699,25
"2023-03-02",18.066310879082,26
"2023-03-02",18.1705722773975,27
"2023-03-02",18.3341407741016,28
"2023-03-02",18.5296878779834,29
"2023-03-02",19.0368347133105,30
"2023-03-03",16.5853042604541,1
"2023-03-03",16.8408184053516,2
"2023-03-03",16.5477809908008,3
"2023-03-03",16.5137691499805,4
"2023-03-03",16.7395973207568,5
"2023-03-03",16.5777797700977,6
"2023-03-03",16.5501003267383,7
"2023-03-03",16.7015228273486,8
"2023-03-03",16.2797241212939,9
"2023-03-03",16.6143455507373,10
"2023-03-03",16.8642253877734,11
"2023-03-03",16.6227817537402,12
"2023-03-03",16.4456214906787,13
"2023-03-03",16.2641372682666,14
"2023-03-03",16.6285724641895,15
"2023-03-03",16.4357986452197,16
"2023-03-03",16.5285739900684,17
"2023-03-03",16.6003055574512,18
"2023-03-03",16.399160385332,19
"2023-03-03",16.6394252779102,20
"2023-03-03",16.5914573671436,21
"2023-03-03",16.6291885377979,22
"2023-03-03",16.6094131471729,23
"2023-03-03",16.5116500856494,24
"2023-03-03",16.5567855836963,25
"2023-03-03",16.7711277010059,26
"2023-03-03",16.3827247621631,27
"2023-03-03",16.9410362245654,28
"2023-03-03",16.4152412416553,29
"2023-03-03",16.6799678804492,30
"2023-03-04",17.9542884813867,1
"2023-03-04",18.051719664248,2
"2023-03-04",18.5391845690332,3
"2023-03-04",17.8333263384424,4
"2023-03-04",18.4021244036279,5
"2023-03-04",18.4152374254785,6
"2023-03-04",18.1911067949854,7
"2023-03-04",18.2385692583643,8
"2023-03-04",18.1703071581445,9
"2023-03-04",18.6473655687891,10
"2023-03-04",18.3440818773828,11
"2023-03-04",17.7499923693262,12
"2023-03-04",17.9631595598779,13
"2023-03-04",18.7939300524316,14
"2023-03-04",18.2978076922021,15
"2023-03-04",18.1616535173975,16
"2023-03-04",18.2464199053369,17
"2023-03-04",18.5102195726953,18
"2023-03-04",18.3717536913477,19
"2023-03-04",18.3032112108789,20
"2023-03-04",17.9308223711572,21
"2023-03-04",18.1879768358789,22
"2023-03-04",17.9707279192529,23
"2023-03-04",17.7271747576318,24
"2023-03-04",17.8448562609277,25
"2023-03-04",17.9117507921777,26
"2023-03-04",18.7939300524316,27
"2023-03-04",18.3111400591455,28
"2023-03-04",18.1473522173486,29
"2023-03-04",18.1703071581445,30
"2023-03-05",18.0389041912842,1
"2023-03-05",17.6368961346436,2
"2023-03-05",17.7190608990479,3
"2023-03-05",18.1774215710449,4
"2023-03-05",17.8506488812256,5
"2023-03-05",18.1220626843262,6
"2023-03-05",17.5977764141846,7
"2023-03-05",17.484846116333,8
"2023-03-05",17.6610298168945,9
"2023-03-05",17.7153186810303,10
"2023-03-05",17.5097579968262,11
"2023-03-05",17.3611545574951,12
"2023-03-05",17.9029922497559,13
"2023-03-05",17.2673263562012,14
"2023-03-05",17.7714195263672,15
"2023-03-05",17.6098060620117,16
"2023-03-05",17.8050785076904,17
"2023-03-05",17.8399219525146,18
"2023-03-05",17.9297714245605,19
"2023-03-05",17.9231033337402,20
"2023-03-05",17.3728199017334,21
"2023-03-05",17.9473171246338,22
"2023-03-05",18.2532043469238,23
"2023-03-05",17.5301437390137,24
