"date","value","i_ens"
"2023-03-01",11.3361310982227,1
"2023-03-01",10.8054237389087,2
"2023-03-01",10.8269729637622,3
"2023-03-01",10.7460794472217,4
"2023-03-01",10.9186506294727,5
"2023-03-01",10.8664159798145,6
"2023-03-01",11.0436458611011,7
"2023-03-01",10.7543373131274,8
"2023-03-01",10.7490959190845,9
"2023-03-01",10.7343244575977,10
"2023-03-01",10.7701435112476,11
"2023-03-01",10.6883993172168,12
"2023-03-01",11.0557060265063,13
"2023-03-01",10.7212696098804,14
"2023-03-01",10.9934225105762,15
"2023-03-01",11.1452388786792,16
"2023-03-01",11.0605859779834,17
"2023-03-01",10.6576061272144,18
"2023-03-01",10.6079454445361,19
"2023-03-01",10.7601947807788,20
"2023-03-01",10.9332723640918,21
"2023-03-01",10.7495002769946,22
"2023-03-01",11.1475029015063,23
"2023-03-01",11.0849895500659,24
"2023-03-01",10.6966247581958,25
"2023-03-01",10.5545310997485,26
"2023-03-01",10.7195014976978,27
"2023-03-01",10.8312759422778,28
"2023-03-01",10.5946464561938,29
"2023-03-01",10.2996816658496,30
"2023-03-02",12.5698404341748,1
"2023-03-02",12.6772785216382,2
"2023-03-02",12.4744472533276,3
"2023-03-02",12.9462375670483,4
"2023-03-02",12.5722370177319,5
"2023-03-02",12.4304990798047,6
"2023-03-02",12.7003383666089,7
"2023-03-02",12.6697740584424,8
"2023-03-02",12.3527069121411,9
"2023-03-02",12.0002250701001,10
"2023-03-02",12.1808605223706,11
"2023-03-02",12.484210970979,12
"2023-03-02",12.3744373351147,13
"2023-03-02",12.3183984786084,14
"2023-03-02",12.6530475646069,15
"2023-03-02",12.5808715849927,16
"2023-03-02",12.6114902525952,17
"2023-03-02",12.5498228102734,18
"2023-03-02",12.484210970979,19
"2023-03-02",12.7492551833203,20
"2023-03-02",12.3683128386548,21
"2023-03-02",12.42214203177,22
"2023-03-02",12.3543090849927,23
"2023-03-02",12.1702318221143,24
"2023-03-02",12.5487709075024,25
"2023-03-02",12.484210970979,26
"2023-03-02",12.2270126372388,27
"2023-03-02",12.3543090849927,28
"2023-03-02",12.7302637129834,29
"2023-03-02",12.5225601225903,30
"2023-03-03",10.3273868581006,1
"2023-03-03",10.2527265568921,2
"2023-03-03",10.6706056615063,3
"2023-03-03",10.349544527168,4
"2023-03-03",10.4470596333691,5
"2023-03-03",10.2760925313184,6
"2023-03-03",10.4303636571118,7
"2023-03-03",10.7284955998608,8
"2023-03-03",10.4294176121899,9
"2023-03-03",10.4254503270337,10
"2023-03-03",10.5693588277051,11
"2023-03-03",10.862104417915,12
"2023-03-03",10.2921981831738,13
"2023-03-03",10.4639415761182,14
"2023-03-03",10.6653423329541,15
"2023-03-03",10.4088306447217,16
"2023-03-03",10.2804565449902,17
"2023-03-03",10.2694568654248,18
"2023-03-03",10.4340162297437,19
"2023-03-03",10.5560255070874,20
"2023-03-03",10.1144304295728,21
"2023-03-03",10.6471052190015,22
"2023-03-03",10.354351999397,23
"2023-03-03",10.2553272267529,24
"2023-03-03",10.4596252461621,25
"2023-03-03",10.6401777287671,26
"2023-03-03",10.4036541005322,27
"2023-03-03",9.95367050373047,28
"2023-03-03",10.0643482228467,29
"2023-03-03",10.8082399388501,30
"2023-03-04",12.6477842325854,1
"2023-03-04",12.717782020061,2
"2023-03-04",12.7867593760181,3
"2023-03-04",12.3996582026172,4
"2023-03-04",12.5618410105396,5
"2023-03-04",12.168655395,6
"2023-03-04",12.5302677149463,7
"2023-03-04",12.4404172892261,8
"2023-03-04",12.7201166147876,9
"2023-03-04",12.5102920527148,10
"2023-03-04",12.482734679668,11
"2023-03-04",12.3259429926563,12
"2023-03-04",12.36347961375,13
"2023-03-04",12.5365819925952,14
"2023-03-04",12.5269155497241,15
"2023-03-04",12.1196928019214,16
"2023-03-04",12.409302710979,17
"2023-03-04",12.3785743708301,18
"2023-03-04",12.6485595698047,19
"2023-03-04",12.6651010508228,20
"2023-03-04",12.2306871409106,21
"2023-03-04",12.3308162684131,22
"2023-03-04",12.4136619562793,23
"2023-03-04",12.2425270075488,24
"2023-03-04",12.4010372156787,25
"2023-03-04",12.6513633722949,26
"2023-03-04",12.4106044764209,27
"2023-03-04",12.8198852533984,28
"2023-03-04",12.0144777292896,29
"2023-03-04",11.9420757288623,30
"2023-03-05",11.9406261448608,1
"2023-03-05",12.2066669468628,2
"2023-03-05",12.2695341114746,3
"2023-03-05",12.1567888264404,4
"2023-03-05",11.8283786778198,5
"2023-03-05",12.0905780796753,6
"2023-03-05",12.0558652882324,7
"2023-03-05",11.9414339070068,8
"2023-03-05",11.9590797428833,9
"2023-03-05",12.0926752094971,10
"2023-03-05",12.097488403772,11
"2023-03-05",12.0669488911377,12
"2023-03-05",12.0050106053101,13
"2023-03-05",12.0190992359863,14
"2023-03-05",12.18864631698,15
"2023-03-05",12.1659164433228,16
"2023-03-05",12.1163463597046,17
"2023-03-05",11.9362888340698,18
"2023-03-05",12.0871601109253,19
"2023-03-05",11.9074993138062,20
"2023-03-05",12.1975936894165,21
"2023-03-05",12.1234979634033,22
"2023-03-05",11.9803676609741,23
"2023-03-05",12.2099075321899,24
"2023-03-05",12.0053596501099,25
"2023-03-05",11.5817728047119,26
"2023-03-05",12.1736230854736,27
"2023-03-05",11.8615512852417,28
"2023-03-05",11.9074993138062,29
"2023-03-05",12.1244039540039,30
"2023-03-06",10.7186994574487,1
"2023-03-06",11.1076660178125,2
"2023-03-06",11.0996236823022,3
"2023-03-06",11.1744499228418,4
"2023-03-06",10.993569376272,5
"2023-03-06",11.0540733359277,6
"2023-03-06",10.943387987417,7
"2023-03-06",11.0902137778223,8
"2023-03-06",11.0113678000391,9
"2023-03-06",11.0989284537256,10
"2023-03-06",11.1539058707178,11
"2023-03-06",11.0255231879175,12
"2023-03-06",10.8948783896387,13
"2023-03-06",11.0127973578394,14
"2023-03-06",11.2455616019189,15
"2023-03-06",10.7406425497949,16
"2023-03-06",10.9071922324121,17
"2023-03-06",10.7356958411157,18
"2023-03-06",10.7756614706934,19
"2023-03-06",11.1300325415552,20
"2023-03-06",10.7251749060571,21
"2023-03-06",11.2471332571924,22
"2023-03-06",11.1765203497827,23
"2023-03-06",11.3078317664087,24
"2023-03-06",11.0098915121973,25
"2023-03-06",11.0657815955103,26
"2023-03-06",10.7464284918726,27
"2023-03-06",11.1310520193994,28
"2023-03-06",10.6925077460229,29
"2023-03-06",10.9088459036768,30
"2023-03-07",11.1462059053784,1
"2023-03-07",10.8988637956982,2
"2023-03-07",11.0280561479932,3
"2023-03-07",11.0682468447095,4
"2023-03-07",11.1413202318555,5
"2023-03-07",11.3278923067456,6
"2023-03-07",11.2161626848584,7
"2023-03-07",11.1866588625317,8
"2023-03-07",10.8557510408765,9
"2023-03-07",11.1883754763013,10
"2023-03-07",11.1076602968579,11
"2023-03-07",11.1356830629712,12
"2023-03-07",10.8908977541333,13
"2023-03-07",11.2926063570386,14
"2023-03-07",11.0239572557812,15
"2023-03-07",11.422261241377,16
"2023-03-07",11.4687271150952,17
"2023-03-07",11.2371387514478,18
"2023-03-07",11.2343940767651,19
"2023-03-07",11.531410220564,20
"2023-03-07",11.1604776415234,21
"2023-03-07",10.7322464022046,22
"2023-03-07",11.3325214418774,23
"2023-03-07",10.7766380342847,24
"2023-03-07",11.194664958418,25
"2023-03-07",11.2275915178662,26
"2023-03-07",11.1280822786694,27
"2023-03-07",11.0709724459058,28
"2023-03-07",11.2092313799268,29
"2023-03-07",11.0760192903882,30
"2023-03-08",11.968688008584,1
"2023-03-08",11.9576559040918,2
"2023-03-08",11.9945058796777,3
"2023-03-08",11.8190860722437,4
"2023-03-08",11.8302230809106,5
"2023-03-08",11.9449024174585,6
"2023-03-08",11.960724828042,7
"2023-03-08",11.7477006886377,8
"2023-03-08",11.6705684636011,9
"2023-03-08",12.0157833073511,10
"2023-03-08",12.0214500401392,11
"2023-03-08",11.8455781910791,12
"2023-03-08",11.9629297230615,13
"2023-03-08",11.8381853077783,14
"2023-03-08",11.7252483342065,15
"2023-03-08",11.7587881062402,16
"2023-03-08",12.2438430760278,17
"2023-03-08",11.8529615376367,18
"2023-03-08",11.9190835926904,19
"2023-03-08",12.098064420022,20
"2023-03-08",12.0411434147729,21
"2023-03-08",12.1232366536035,22
"2023-03-08",11.8278255436792,23
"2023-03-08",11.8563108418359,24
"2023-03-08",11.8268833134546,25
"2023-03-08",11.5636854145898,26
"2023-03-08",11.9099588368311,27
"2023-03-08",11.9375953648462,28
"2023-03-08",12.0191345188989,29
"2023-03-08",11.9646167729272,30
"2023-03-09",12.3971729246631,1
"2023-03-09",12.3226604429736,2
"2023-03-09",12.1968641249194,3
"2023-03-09",12.0114774672046,4
"2023-03-09",12.4992513624683,5
"2023-03-09",12.2624959913745,6
"2023-03-09",12.3293476072803,7
"2023-03-09",12.2573347059741,8
"2023-03-09",12.3199920622363,9
"2023-03-09",12.1771202055469,10
"2023-03-09",11.9944305387988,11
"2023-03-09",12.2010822264209,12
"2023-03-09",12.2920427290454,13
"2023-03-09",12.3734283415332,14
"2023-03-09",12.0247077909961,15
"2023-03-09",12.2657070127979,16
"2023-03-09",12.487209316875,17
"2023-03-09",12.1972379652515,18
"2023-03-09",12.3496150938525,19
"2023-03-09",12.2751493422046,20
"2023-03-09",12.1610441175952,21
"2023-03-09",11.9808139769092,22
"2023-03-09",12.2042274443164,23
"2023-03-09",12.2948417631641,24
"2023-03-09",12.2866954771533,25
"2023-03-09",12.1834554640308,26
"2023-03-09",12.3614902464404,27
"2023-03-09",12.2431993452563,28
"2023-03-09",12.2852678267017,29
"2023-03-09",12.1792802778735,30
"2023-03-10",13.477722170437,1
"2023-03-10",13.4018220926172,2
"2023-03-10",13.0479841256982,3
"2023-03-10",13.1627254510767,4
"2023-03-10",13.2642736459619,5
"2023-03-10",13.1101522470361,6
"2023-03-10",13.3759031320459,7
"2023-03-10",13.3620100046045,8
"2023-03-10",13.253097536648,9
"2023-03-10",13.2642736459619,10
"2023-03-10",13.2832469964868,11
"2023-03-10",13.4815864587671,12
"2023-03-10",13.5379323984033,13
"2023-03-10",13.0412111307031,14
"2023-03-10",12.7990522409326,15
"2023-03-10",12.9416008020288,16
"2023-03-10",13.1423358941919,17
"2023-03-10",12.8119516397363,18
"2023-03-10",12.8707141900903,19
"2023-03-10",13.3569374109155,20
"2023-03-10",13.493027689541,21
"2023-03-10",13.2642736459619,22
"2023-03-10",12.9243011499292,23
"2023-03-10",13.3251123453027,24
"2023-03-10",13.6382446313745,25
"2023-03-10",12.9314193750269,26
"2023-03-10",13.4713602090723,27
"2023-03-10",13.2368602777368,28
"2023-03-10",13.2642736459619,29
"2023-03-10",14.4996461892969,30
"2023-03-11",12.3618316691187,1
"2023-03-11",12.4748230021265,2
"2023-03-11",12.4011697809961,3
"2023-03-11",12.5333814661768,4
"2023-03-11",12.3689327280786,5
"2023-03-11",12.2282085459497,6
"2023-03-11",12.3246183436182,7
"2023-03-11",12.4514875452783,8
"2023-03-11",12.3998880427148,9
"2023-03-11",12.4385299723413,10
"2023-03-11",12.1904745142725,11
"2023-03-11",12.4122686426904,12
"2023-03-11",12.2738885920313,13
"2023-03-11",12.2964143793848,14
"2023-03-11",12.1861801188257,15
"2023-03-11",12.3092994730737,16
"2023-03-11",12.5344467203882,17
"2023-03-11",12.110837940481,18
"2023-03-11",12.4760627787378,19
"2023-03-11",12.7169857065942,20
"2023-03-11",12.4014387171533,21
"2023-03-11",12.3240232508447,22
"2023-03-11",12.3211898844507,23
"2023-03-11",12.4675264399316,24
"2023-03-11",12.1286735575464,25
"2023-03-11",12.5276918452051,26
"2023-03-11",12.1988754313257,27
"2023-03-11",12.4007139246729,28
"2023-03-11",12.508766178396,29
"2023-03-11",12.2125940363672,30
"2023-03-12",11.9445581434058,1
"2023-03-12",11.7006816861914,2
"2023-03-12",11.8638610837744,3
"2023-03-12",11.7774734494971,4
"2023-03-12",11.8142471311377,5
"2023-03-12",11.9983396528052,6
"2023-03-12",11.6900358197974,7
"2023-03-12",11.6854257581519,8
"2023-03-12",11.7875022886084,9
"2023-03-12",11.782621383457,10
"2023-03-12",11.6657590863989,11
"2023-03-12",11.6533317563818,12
"2023-03-12",11.637921333103,13
"2023-03-12",11.6867618558691,14
"2023-03-12",11.7714004514502,15
