"gauge_id","gauge_name","gauge_lat","gauge_lon","area_km2","mean_elev","max_elev","min_elev","p_mean_cr2met_1979_2010","aridity_cr2met_1979_2010","p_seasonality_cr2met_1979_2010","runoff_ratio_cr2met_1979_2010","hfd_mean","Regimen_Natural_Calidad","Proyecto_DGA","Para_Transferir","Observaciones"
3414001,"Rio Pulido En Vertedero",-28.0858,-69.9408,2021.79817988457,3566.13950219379,5781,1295,130.682608561695,6.04835374469028,-0.962451640140598,20.3388951015802,0.542778918548939,"SI","","",""
3421001,"Rio Manflas En Vertedero",-28.1478,-69.9939,981.573250240201,3564.50645407003,5680,1457,153.778081544829,4.99399421853459,-0.845585634944773,12.4873168386389,0.450224351661722,"SI","","","no nival"
3430003,"Rio Copiapo En Pastillo",-28.0003,-69.9747,7463.87992762144,3650.18562743056,5994,1136,101.058572622256,7.93080678598357,-0.924761471401862,NA,0.460985626283368,"","SI","",""
3820001,"Rio Huasco En Algodones",-28.7306,-70.5067,7199.71059273126,3393.95083632284,6113,717,123.38986125669,6.35239976711913,-0.858355986844183,NA,0.428302532511978,"","SI","",""
4302001,"Rio Toro Antes Junta Rio La Laguna",-29.9711,-70.0928,467.386726857127,3904.56940350207,6114,2104,139.641334880359,4.62501029280992,-0.623114005498825,NA,0.531719442343023,"SI","","",""
4311001,"Estero Derecho En Alcohuaz",-30.2206,-70.4928,338.242154586402,3544.44867261154,5540,1647,245.633727608688,2.80735851065468,-1.11976346508898,52.8123251122442,0.493634496919918,"SI","","",""
4313001,"Rio Cochiguaz En El PeÑOn",-30.1222,-70.4344,675.348038873011,3510.75799334852,5275,1338,195.73757796492,3.61248928851345,-1.13095073167133,73.1589188973513,0.522518822724162,"SI","","",""
4320001,"Rio Elqui En Algarrobal",-29.9953,-70.5867,5669.71378017899,3417.68640776713,6196,768,164.401702572417,4.49822686867416,-0.92821067956363,39.9784912574423,0.538535249828884,"","SI","",""
4501001,"Rio Hurtado En San Agustin",-30.4622,-70.5361,672.360084377301,3723.66943097885,5539,2031,278.492109469286,1.98853145987245,-1.03733965595733,56.5933345934348,0.513563168702042,"","SI","",""
4503001,"Rio Hurtado En Angostura De Pangue",-30.4386,-71.0022,1837.30266707536,2554.18539357744,5539,488,246.413305834905,3.70840004378835,-1.15022333127474,23.4065795788992,0.397596775420183,"SI","","",""
4511002,"Rio Grande En Las Ramadas",-31.0117,-70.5811,568.53004384793,3097.57828972609,4373,1377,323.637041443397,2.37358154857726,-1.12371842665929,84.7749135179055,0.528952772073922,"SI","SI","",""
4513001,"Rio Grande En Cuyano",-30.9242,-70.7731,1286.60811567017,2726.14636977373,4373,871,315.803512507985,2.8940281022145,-1.20913866898478,65.8911432494214,0.498288843258042,"SI","","",""
4515002,"Rio Mostazal En Caren",-30.8422,-70.7694,640.154425384245,2588.85698237201,4401,690,365.707059106797,2.31766445958331,-1.07115259613668,21.6596576211973,0.414784394250513,"SI","","","no nival"
4522002,"Rio Rapel En Junta",-30.7081,-70.8728,820.554115512545,2661.31614038346,4825,494,349.418204381064,2.38362305518889,-1.05278090202502,21.1387615316789,0.378583922731767,"SI","","",""
4531002,"Rio Cogoti Entrada Embalse Cogoti",-31.0325,-71.0403,753.074337540195,2123.72455506841,4089,638,300.609040960285,3.7280462810564,-1.30381907604988,NA,0.428715223255628,"SI","","","no nival"
4703002,"Rio Choapa En Cuncumen",-31.9667,-70.5944,1131.62589184279,3142.28886731627,5038,1153,371.591491260569,2.11012612411461,-1.17811520874199,77.3384838422024,0.582614647501711,"SI","SI","",""
5100001,"Rio Sobrante En Piadero",-32.2253,-70.7119,241.076708538332,2609.618284552,3721,1135,456.47293136814,1.97566240747966,-1.21302455411221,34.6396486935393,0.456576881265854,"SI","","",""
5101001,"Rio Pedernal En Tejada",-32.0708,-70.7564,81.1320203713954,2453.52405794216,3439,1335,401.296486995501,2.47279648289579,-1.24774985801775,NA,0.443853927608005,"SI","","",""
5200001,"Rio Alicahue En Colliguay",-32.33,-70.7381,348.027078784844,2402.60595804966,3985,832,448.856128186184,2.0773599297575,-1.18192655991085,28.5354042505771,0.511401707554308,"SI","","",""
5401003,"Rio Juncal En Juncal",-32.8625,-70.1675,343.096058333857,3661.93642787183,5924,2124,468.823389657684,1.13317500627738,-1.05154648563438,125.004584152927,0.696174614039091,"","SI","",""
5410002,"Rio Aconcagua En Chacabuquito",-32.8503,-70.5094,2113.42251245651,3177.58352222649,5924,936,461.612623240322,1.45123578396359,-1.15668514395192,115.006163301256,0.663244353182752,"SI","SI","","revisar RN"
5411001,"Estero Pocuro En El Sifon",-32.9164,-70.5403,180.975123719849,2006.07096058776,3591,1060,511.098336314762,2.05134720044125,-1.22066385619727,32.6499964149911,0.419651684538749,"SI","","",""
5414001,"Rio Putaendo En Resguardo Los Patos",-32.5017,-70.5811,885.274456328492,2920.60421482887,4667,1182,434.497958837839,1.70100165252915,-1.12759797828727,71.723619361209,0.582553806373109,"","SI","",""
5707002,"Rio Colorado Antes Junta Rio Maipo",-33.5875,-70.3669,1662.79765150944,3418.70531972989,6550,907,642.573517092374,0.952038737386283,-1.08826238071957,99.545193278,0.675488630314092,"","SI","",""
5710001,"Rio Maipo En El Manzano",-33.5939,-70.3792,4839.04678575914,3181.01652308362,6550,872,901.189302270377,0.74522802787463,-1.11788289049232,89.8146656790358,0.646954140999316,"SI","SI","","revisar RN"
