"wy_simple","wym","cod_cuenca","pr","tem"
1979,7,"3414001",0.999,6.52
1979,8,"3414001",0.003,8.078
1979,9,"3414001",0,9.269
1979,10,"3414001",12.84,9.14
1979,11,"3414001",8.538,9.393
1979,12,"3414001",2.051,10.788
1979,1,"3421001",0.046,6.069
1979,2,"3421001",0,5.411
1979,3,"3421001",0.269,3.556
1979,4,"3421001",0,4.354
1979,5,"3421001",0,5.381
1979,6,"3421001",4.334,1.108
1979,7,"3421001",2.832,5.704
1979,8,"3421001",0.07,7.374
1979,9,"3421001",0,8.446
1979,10,"3421001",19.498,8.326
1979,11,"3421001",11.433,8.727
1979,12,"3421001",1.401,10.12
1979,1,"3430003",0.242,5.747
1979,2,"3430003",0,5.512
1979,3,"3430003",1.028,2.937
1979,4,"3430003",0,4.099
1979,5,"3430003",0,6.174
1979,6,"3430003",7.144,1.112
1979,7,"3430003",0.572,5.724
1979,8,"3430003",0,7.293
1979,9,"3430003",0,8.646
1979,10,"3430003",10.683,8.533
1979,11,"3430003",5.554,8.814
1979,12,"3430003",1.45,10.102
1979,1,"3820001",1.255,6.653
1979,2,"3820001",0,5.749
1979,3,"3820001",0.06,4.47
1979,4,"3820001",0,6.14
1979,5,"3820001",0,7.559
1979,6,"3820001",2.524,3.079
1979,7,"3820001",1.494,6.44
1979,8,"3820001",0.18,7.782
1979,9,"3820001",0.049,9.368
1979,10,"3820001",11.615,9.438
1979,11,"3820001",10.732,9.588
1979,12,"3820001",1.227,11.177
1979,1,"4302001",10.836,3.835
1979,2,"4302001",1.346,1.267
1979,3,"4302001",0,2.344
1979,4,"4302001",0.54,4.985
1979,5,"4302001",0.025,5.115
1979,6,"4302001",0.75,1.062
1979,7,"4302001",1.99,3.72
1979,8,"4302001",0.551,6.136
1979,9,"4302001",2.737,7.642
1979,10,"4302001",27.291,8.205
1979,11,"4302001",16.787,8.063
1979,12,"4302001",0.645,9.886
1979,1,"4311001",26.648,3.898
1979,2,"4311001",1.07,3.054
1979,3,"4311001",0,2.745
1979,4,"4311001",19.078,3.509
1979,5,"4311001",3.295,1.539
1979,6,"4311001",9.427,-0.573
1979,7,"4311001",0,4
1979,8,"4311001",0.013,5.985
1979,9,"4311001",0.046,7.945
1979,10,"4311001",12.377,8.104
1979,11,"4311001",8.662,7.377
1979,12,"4311001",0.674,9.187
1979,1,"4313001",23.719,4.597
1979,2,"4313001",0.268,3.709
1979,3,"4313001",0,3.885
1979,4,"4313001",11.856,5.074
1979,5,"4313001",3.337,2.667
1979,6,"4313001",7.476,0.301
1979,7,"4313001",0,5.023
1979,8,"4313001",0.009,6.86
1979,9,"4313001",0.201,9.031
1979,10,"4313001",8.552,9.29
1979,11,"4313001",11.618,8.387
1979,12,"4313001",0.166,10.181
1979,1,"4320001",17.564,5.629
1979,2,"4320001",0.174,4.272
1979,3,"4320001",0.201,4.63
1979,4,"4320001",3.93,6.412
1979,5,"4320001",1.05,5.303
1979,6,"4320001",4.013,2.077
1979,7,"4320001",0.037,5.692
1979,8,"4320001",0.03,7.447
1979,9,"4320001",1.4,9.177
1979,10,"4320001",13.611,9.606
1979,11,"4320001",17.214,9.058
1979,12,"4320001",0.265,10.725
1979,1,"4501001",38.158,2.781
1979,2,"4501001",2.164,2.147
1979,3,"4501001",0.102,1.098
1979,4,"4501001",21.273,2.461
1979,5,"4501001",9.167,1.02
1979,6,"4501001",11.945,-1.419
1979,7,"4501001",0.008,2.963
1979,8,"4501001",0.311,5.449
1979,9,"4501001",0.223,7.499
1979,10,"4501001",16.706,7.402
1979,11,"4501001",14.709,6.801
1979,12,"4501001",1.296,8.652
1979,1,"4503001",22.66,9.205
1979,2,"4503001",0.909,8.085
1979,3,"4503001",0.411,6.84
1979,4,"4503001",26.619,7.943
1979,5,"4503001",6.899,7.152
1979,6,"4503001",17.858,4.964
1979,7,"4503001",0.016,8.676
1979,8,"4503001",0.02,10.709
1979,9,"4503001",0.084,12.633
1979,10,"4503001",9.658,12.944
1979,11,"4503001",11.248,12.425
1979,12,"4503001",0.547,13.48
1979,1,"4511002",16.714,6.303
1979,2,"4511002",2.948,5.067
1979,3,"4511002",0.903,4.93
1979,4,"4511002",48.222,5.941
1979,5,"4511002",20.324,4.69
1979,6,"4511002",11.184,1.008
1979,7,"4511002",0.286,5.56
1979,8,"4511002",0.077,8.858
1979,9,"4511002",0.019,11.155
1979,10,"4511002",12.964,11.129
1979,11,"4511002",21.359,10.658
1979,12,"4511002",4.999,12.272
1979,1,"4513001",10.712,8.693
1979,2,"4513001",2.157,7.34
1979,3,"4513001",1.536,7.091
1979,4,"4513001",55.03,7.908
1979,5,"4513001",17.99,6.743
1979,6,"4513001",13.661,3.522
1979,7,"4513001",0.452,8.004
1979,8,"4513001",0.555,10.82
1979,9,"4513001",0,12.877
1979,10,"4513001",8.911,12.88
1979,11,"4513001",15.922,12.44
1979,12,"4513001",3.984,14.033
1979,1,"4515002",33.891,8.902
1979,2,"4515002",1.43,8.177
1979,3,"4515002",3.472,6.447
1979,4,"4515002",49.038,7.79
1979,5,"4515002",16.693,7.206
1979,6,"4515002",30.11,4.392
1979,7,"4515002",0.129,8.233
1979,8,"4515002",0.445,10.922
1979,9,"4515002",2.26,13.144
1979,10,"4515002",8.889,12.845
1979,11,"4515002",19.304,12.385
1979,12,"4515002",1.375,13.921
1979,1,"4522002",35.281,8.578
1979,2,"4522002",1.524,7.62
1979,3,"4522002",5.909,5.522
1979,4,"4522002",44.504,6.712
