"date","3414001","3421001","3430003","3820001","4302001","4311001","4313001","4320001","4501001","4503001","4511002","4513001","4515002","4522002","4531002","4703002","5100001","5101001","5200001","5401003","5410002","5411001","5414001","5707002","5710001","5721001","5722001","5722002","5730008","5741001","6003001","6008005","6013001","6027001","6028001","7103001","7104002","7112001","7115001","7117008","7317005","7321002","7330001","7350003","7354002","7355002","7358001","7381001","8104001","8106001"
"2022-06-01",1.87289171749941,2.80769520266537,0.283696260576368,1.32006025646439,1.35788407417982,6.41456492340271,4.61961572675002,2.16009228173935,8.25112998700384,6.48656569732292,5.71840963415775,5.32969619531318,9.06154240664275,8.15799468369395,5.19982971125583,1.01744574598964,3.36494444639175,3.7142238026949,3.39159933776718,0,0.543436382702967,6.09698060030685,1.42241059201351,0.257309215846663,0.625125754764165,0.0712682688163049,2.22652835301574,0.126560838373638,0.857519783954535,6.93671411286311,2.43367214731747,2.94869169758529,4.52779175638981,2.22993786851249,3.58373119364257,1.18757570478977,1.44463131266132,0.848509283991776,0.0862795050687658,0.838739815876093,0,0.0854393986466494,0,0,0.010102036246863,0.00548334712009413,0.0122387140677601,0,0,0
"2022-06-02",0,0,0,0,0,0,0,0,0,0,0.129901073716264,0.0702775508450989,0,0,0.06419725028162,0.529216698373387,0,0,0.118407806393677,0.837849925230205,1.21506057595676,0.188786652671364,0.133863795152859,1.95109067731962,2.85181911339672,0.248508624998463,0.585072769140684,0.276562388747427,0.103445899549179,0,4.09228507199691,5.40368196645339,5.86407725533306,6.70275837168698,5.83595652885769,5.97278208440982,4.61412536385358,7.38205483725384,8.18759568478259,7.68253469997667,8.28492459265492,7.53997313987159,16.3208743817148,14.1949767807994,14.1334324589313,13.0125113177155,12.0350040128463,11.7426698454617,12.4932719150517,15.0660952483656
"2022-06-03",0,0,0,0,0.382830249226597,4.1832027017489,3.00423957544105,1.34343731052765,6.39204577695552,1.78043139423284,11.6455919194708,11.2374896402273,6.31744375211584,4.31058056230538,9.52782413767881,23.3472794697151,21.1318599496205,17.0074035974871,20.7347606614621,32.7045903500204,29.7150524625953,25.8138160281725,23.5410869537821,31.9579473841682,38.7933311831398,27.1461306364688,26.4234946173561,25.0810939127725,17.8689486790506,15.7031305724876,59.5459406955499,57.0246313915259,63.5831227480112,56.2740866444652,63.5583580084918,64.9156798926765,61.3084682056825,64.9023745675896,69.0656059602395,65.5845804044653,54.4439159854639,52.026236990347,58.3785672900169,61.485747367154,62.3181147922084,67.8825376808386,45.4754597827393,35.4077650267783,56.1329458268357,56.6594856604448
"2022-06-04",0,0,0,0.00346341198623053,0.195904867821449,0.257002306110405,0.524062109068185,0.299702538406452,0.629747838687709,0.464489668522994,1.14808895136046,0.538184100068603,0.188369887128944,0.231647776517078,0,1.74269345180504,1.85781029753022,0,2.1911812593721,4.26079772228951,3.42238663850462,3.48891949815302,2.32530528921617,9.36940549289389,15.8647473511059,5.81280195344695,4.60698743498431,6.1360141457185,2.39746323439541,0,26.7757676095787,25.0130412549848,21.5883592730349,17.4600093118448,23.8928587123776,23.5281244021495,22.852431420249,25.032008203914,24.7054482197481,23.2056310035546,21.4800008785518,20.2193090125955,39.3474174679414,34.3612717825432,29.4440152458056,28.7401771147856,19.093243821929,15.7467354297279,29.522972652387,34.9217119203084
"2022-06-05",0.478542011271614,0.817645358333987,1.36372395330698,0.0737829098926531,0.0145864918034575,0.0736278472710639,0.144734923459998,0.0918846354541281,0.100457580277866,0.0238264999953561,0,0,0,0,0,0,0,0,0,0.00396621693442793,0,0,0,0.127221536248341,0.122453118082509,0.041886701421075,0.0625377676686201,0.00463601655533253,0,0,0,0,0,0,0,0,0.0100766560917742,0,0,0,0.10024484384341,0.276362517857652,0.7130530133025,0.85732243733749,0.362228697245545,0.252650103420598,0.226883599809964,0.0644262064806953,0.250492602290656,0.673103197286282
"2022-06-06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-06-07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-06-08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00443527789879363,0,0,0,0,0,0,0
"2022-06-09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-06-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-06-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-06-12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-06-13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
