"","cuenca","cuenca_name","vol_normal","vol_pasado","vol_promax","vol_promin","vol_pron","year"
"1","3414001","Rio Pulido En Vertedero",43.4728172842859,79.8564279529511,68.0248224359094,23.6125352031761,46.10233678117,2018
"2","3414001","Rio Pulido En Vertedero",43.4728172842859,79.8564279529511,52.7573545251837,13.1093593391425,33.1459738237192,2018
"3","3414001","Rio Pulido En Vertedero",43.4728172842859,79.8564279529511,45.0536809572452,14.1435847804561,29.3457104464831,2018
"4","3414001","Rio Pulido En Vertedero",43.4728172842859,79.8564279529511,47.943705628548,24.7852001160555,35.8279368708049,2018
"5","3414001","Rio Pulido En Vertedero",43.4728172842859,79.8564279529511,42.5974577258696,20.4623265125553,31.6581839622591,2018
"6","3414001","Rio Pulido En Vertedero",39.8780804683781,73.0763713754035,36.4423100888455,15.6566789682767,25.8682160724623,2018
"7","3414001","Rio Pulido En Vertedero",36.1263175041504,65.9695886602167,35.1881014297941,14.1195644408134,24.8997534622999,2018
"8","3414001","Rio Pulido En Vertedero",31.6242262832181,57.1955020465801,34.3484044745679,11.227480706899,22.7400214735831,2018
"9","3414001","Rio Pulido En Vertedero",24.5863319783976,41.8030050335614,26.1024919239796,10.1949574526221,17.9755599392838,2018
"10","3414001","Rio Pulido En Vertedero",14.1292313455284,24.4650419904245,15.4862035192352,6.83850072733454,11.3873290205725,2018
"11","3414001","Rio Pulido En Vertedero",6.68171604056781,9.86296451228305,8.25576617037495,4.37092467662878,6.46362951723461,2018
"12","3421001","Rio Manflas En Vertedero",29.2500956907331,30.8904313235466,69.8868433635134,15.25414508143,42.9003687710539,2018
"13","3421001","Rio Manflas En Vertedero",29.2500956907331,30.8904313235466,59.8027615606972,8.43094824058743,35.2160173190505,2018
"14","3421001","Rio Manflas En Vertedero",29.2500956907331,30.8904313235466,50.71516308605,4.77176439775784,27.0201207564306,2018
"15","3421001","Rio Manflas En Vertedero",29.2500956907331,30.8904313235466,47.6270945963088,7.49046967187254,26.3138421955817,2018
"16","3421001","Rio Manflas En Vertedero",29.2500956907331,30.8904313235466,42.3898823699513,0.081434431022152,20.2099664435967,2018
"17","3421001","Rio Manflas En Vertedero",25.8394766826986,27.4771210126988,39.0730475168399,0.805785467284062,20.7478645691657,2018
"18","3421001","Rio Manflas En Vertedero",22.1619376656707,21.5707181718138,34.3758504680723,2.48042423552904,18.2236283668388,2018
"19","3421001","Rio Manflas En Vertedero",17.4711724483224,12.0111109619558,25.7180810404532,2.03305393850175,13.0034753721849,2018
"20","3421001","Rio Manflas En Vertedero",13.0344349206327,9.9211399348306,17.3397012833901,1.29509283804241,9.69657729376866,2018
"21","3421001","Rio Manflas En Vertedero",7.18049623876178,5.96889221097139,9.77408341813992,1.75882454528255,5.896690027524,2018
"22","3421001","Rio Manflas En Vertedero",3.41855281131074,3.43212630040274,4.65026795157779,1.45277167577117,3.14051294273489,2018
"23","4302001","Rio Toro Antes Junta Rio La Laguna",74.0846033176975,41.3216116507813,108.274583720106,51.1095148042596,78.6425794840989,2018
"24","4302001","Rio Toro Antes Junta Rio La Laguna",74.0846033176975,41.3216116507813,89.2967923157207,34.2210965934746,60.282993484218,2018
"25","4302001","Rio Toro Antes Junta Rio La Laguna",74.0846033176975,41.3216116507813,96.251856795592,40.7222202037205,67.6967162379258,2018
"26","4302001","Rio Toro Antes Junta Rio La Laguna",74.0846033176975,41.3216116507813,78.7046070452943,42.1852115220727,60.3070321627314,2018
"27","4302001","Rio Toro Antes Junta Rio La Laguna",74.0846033176975,41.3216116507813,65.3274638679815,35.1573484636661,50.1328959191015,2018
"28","4302001","Rio Toro Antes Junta Rio La Laguna",65.8005407567412,35.0231722496558,52.4663439663637,23.8586285150871,37.6182892016691,2018
"29","4302001","Rio Toro Antes Junta Rio La Laguna",55.4480238547488,29.2134029434126,60.8802740966539,32.4555846849752,46.9836801416948,2018
"30","4302001","Rio Toro Antes Junta Rio La Laguna",43.1361756818044,22.721386553466,46.6238625431907,24.5121126901978,34.6848716360021,2018
"31","4302001","Rio Toro Antes Junta Rio La Laguna",28.2897487458993,16.0099988812207,32.0137383068191,20.0930600613733,25.7919103661269,2018
"32","4302001","Rio Toro Antes Junta Rio La Laguna",16.9776413455133,10.1170489678999,18.7035944465502,11.8237108189861,15.5188099239306,2018
"33","4302001","Rio Toro Antes Junta Rio La Laguna",8.99416921591094,5.45625172616327,9.31547536937091,5.32734799135979,7.32933381810405,2018
"34","4311001","Estero Derecho En Alcohuaz",211.93863387709,145.849809889495,448.847749655628,81.6450172868446,266.737204181718,2018
"35","4311001","Estero Derecho En Alcohuaz",211.93863387709,145.849809889495,358.056786901814,-32.0767764725946,162.11975525729,2018
"36","4311001","Estero Derecho En Alcohuaz",211.93863387709,145.849809889495,323.588369079541,-30.2943287218976,161.688914535462,2018
"37","4311001","Estero Derecho En Alcohuaz",211.93863387709,145.849809889495,210.604211703966,-17.5979247561353,101.314233286959,2018
"38","4311001","Estero Derecho En Alcohuaz",211.93863387709,145.849809889495,137.215044195564,-40.8129678344788,44.7730819902656,2018
"39","4311001","Estero Derecho En Alcohuaz",189.858203676539,126.895323704178,78.4925926615939,-92.5139426264942,-9.04494486356905,2018
"40","4311001","Estero Derecho En Alcohuaz",163.209444647568,106.133624236094,113.467735045341,-40.489222847307,36.2027918572853,2018
"41","4311001","Estero Derecho En Alcohuaz",124.955609245477,84.3354354461256,87.3608736172704,-31.5563397577576,27.2594240295319,2018
